Created on 05-15-2020,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DAS,Volume HBTC
2019-04-07,DASHBTC,0.0259,0.0264,0.0257,0.0261,8519.76,221.67
2019-04-06,DASHBTC,0.0265,0.0267,0.0258,0.0259,15521.42,406.24
2019-04-05,DASHBTC,0.0251,0.0267,0.025,0.0265,14126.7,367.48
2019-04-04,DASHBTC,0.025,0.0264,0.0245,0.0251,26428.98,667.72
2019-04-03,DASHBTC,0.0254,0.0277,0.0245,0.025,36927.59,962.92
2019-04-02,DASHBTC,0.0273,0.0278,0.0239,0.0254,30972.54,795.06
2019-04-01,DASHBTC,0.0269,0.029,0.0264,0.0273,20194.9,558.04
2019-03-19,DASHBTC,0.0228,0.0231,0.0228,0.0231,0.6617,0.01515
2019-03-18,DASHBTC,0.0232,0.0236,0.0227,0.0228,5504.86,127.93
2019-03-17,DASHBTC,0.0228,0.0232,0.0225,0.0232,2896.55,65.84
2019-03-16,DASHBTC,0.0229,0.023,0.0226,0.0228,3007.43,68.57
2019-03-15,DASHBTC,0.0229,0.0233,0.0228,0.0229,3138.44,72.25
2019-03-14,DASHBTC,0.0234,0.0234,0.0225,0.0229,1411.25,32.34
2019-03-13,DASHBTC,0.0235,0.0241,0.0231,0.0234,8560.79,201.23
2019-03-12,DASHBTC,0.02146,0.0237,0.0212,0.0235,22675.02,494.34
2019-03-11,DASHBTC,0.02106,0.02147,0.02061,0.02146,78506.33,1646.99
2019-03-10,DASHBTC,0.02108,0.02119,0.02064,0.02106,72339.21,1509.82
2019-03-09,DASHBTC,0.02055,0.02131,0.0205,0.02108,75280.1,1570.08
2019-03-08,DASHBTC,0.02117,0.02129,0.02044,0.02055,76206.85,1596.03
2019-03-07,DASHBTC,0.02146,0.0217,0.021,0.02117,73384.93,1560.81
2019-03-06,DASHBTC,0.02135,0.02156,0.02094,0.02146,74008.53,1570.27
2019-03-05,DASHBTC,0.02086,0.02172,0.02086,0.02135,75473.71,1598.87
2019-03-04,DASHBTC,0.02108,0.02128,0.02069,0.02086,66805.6,1398.94
2019-03-03,DASHBTC,0.0215,0.0217,0.02075,0.02108,47960.71,1024.85
2019-03-02,DASHBTC,0.02157,0.02177,0.02138,0.0215,46093.37,990.92
2019-03-01,DASHBTC,0.02146,0.02188,0.02139,0.02157,49631.3,1071.97
2019-02-28,DASHBTC,0.02102,0.02169,0.02096,0.02146,51008.8,1084.24
2019-02-27,DASHBTC,0.0215,0.0215,0.02065,0.02102,52420.45,1103.04
2019-02-26,DASHBTC,0.02151,0.02151,0.02097,0.0215,51182.75,1089.08
2019-02-25,DASHBTC,0.02122,0.02183,0.02097,0.02151,51880.15,1110.01
2019-02-24,DASHBTC,0.0216,0.0225,0.02063,0.02122,57058.78,1236.53
2019-02-23,DASHBTC,0.02157,0.02176,0.02129,0.0216,51504.76,1106.96
2019-02-22,DASHBTC,0.02143,0.0217,0.02124,0.02157,50454.92,1085.74
2019-02-21,DASHBTC,0.02191,0.0221,0.02111,0.02143,48297.36,1041.73
2019-02-20,DASHBTC,0.02225,0.02229,0.02133,0.02191,54669.3,1190.13
2019-02-19,DASHBTC,0.02207,0.02334,0.02187,0.02225,34900.33,774.69
2019-02-18,DASHBTC,0.02162,0.02219,0.02135,0.02207,20171.09,435.31
2019-02-17,DASHBTC,0.02178,0.02183,0.02145,0.02162,38498.0,833.77
2019-02-16,DASHBTC,0.02178,0.02216,0.02171,0.02178,45890.14,1001.2
2019-02-15,DASHBTC,0.02152,0.02208,0.02118,0.02178,39801.56,865.73
2019-02-14,DASHBTC,0.02216,0.02229,0.02132,0.02152,24655.02,545.16
2019-02-13,DASHBTC,0.02261,0.02282,0.02208,0.02216,33289.93,740.36
2019-02-12,DASHBTC,0.02192,0.02305,0.02163,0.02261,26227.38,590.65
2019-02-11,DASHBTC,0.02045,0.02249,0.02033,0.02192,58808.06,1265.25
2019-02-10,DASHBTC,0.02015,0.02048,0.01978,0.02045,51641.2,1038.74
2019-02-09,DASHBTC,0.02014,0.02056,0.01992,0.02015,53630.5,1089.81
2019-02-08,DASHBTC,0.01971,0.02025,0.01945,0.02014,54208.3,1076.11
2019-02-07,DASHBTC,0.01923,0.01984,0.01916,0.01971,53154.58,1036.61
2019-02-06,DASHBTC,0.01966,0.01984,0.0191,0.01923,53009.13,1025.97
2019-02-05,DASHBTC,0.01926,0.01989,0.01914,0.01966,52184.51,1017.36
2019-02-04,DASHBTC,0.01931,0.01954,0.01914,0.01926,50870.4,980.1
2019-02-03,DASHBTC,0.01927,0.01942,0.01914,0.01931,53934.51,1038.81
2019-02-02,DASHBTC,0.01918,0.01946,0.01914,0.01927,49470.48,951.41
2019-02-01,DASHBTC,0.01955,0.01966,0.01918,0.01918,50045.68,970.22
2019-01-31,DASHBTC,0.0197,0.0198,0.01945,0.01955,47334.74,930.89
2019-01-30,DASHBTC,0.01963,0.01999,0.01923,0.0197,48485.08,950.9
