Created on 05-15-2020,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume EOS,Volume BTC
2018-07-17,EOSBTC,0.001203,0.001223,0.001174,0.0012,6737602.57,8031.98
2018-07-16,EOSBTC,0.001164,0.00122,0.001139,0.001203,6841667.82,8060.56
2018-07-15,EOSBTC,0.001107,0.001179,0.001098,0.001164,7377638.16,8346.17
2018-07-14,EOSBTC,0.001109,0.00113,0.001094,0.001107,7399342.94,8205.87
2018-07-13,EOSBTC,0.001107,0.001155,0.001082,0.001109,8709274.13,9829.42
2018-07-12,EOSBTC,0.001122,0.001124,0.001061,0.001107,6940085.52,7553.73
2018-07-11,EOSBTC,0.001131,0.001158,0.00107,0.001122,2707809.06,3004.4
2018-07-10,EOSBTC,0.001158,0.001177,0.001113,0.001131,3766013.15,4326.42
2018-07-09,EOSBTC,0.001293,0.001297,0.001129,0.001158,4203566.64,5268.92
2018-07-08,EOSBTC,0.001308,0.001325,0.001285,0.001293,3183905.82,4153.46
2018-07-07,EOSBTC,0.001307,0.001321,0.00128,0.001308,3436383.96,4453.03
2018-07-06,EOSBTC,0.001353,0.001357,0.001288,0.001307,3409208.65,4475.51
2018-07-05,EOSBTC,0.001352,0.001381,0.001333,0.001353,3351772.03,4544.96
2018-07-04,EOSBTC,0.001357,0.001393,0.001344,0.001352,2703851.1,3691.44
2018-07-03,EOSBTC,0.001355,0.001415,0.001344,0.001357,4868574.69,6658.7
2018-07-02,EOSBTC,0.001276,0.001374,0.001252,0.001355,5784285.21,7530.55
2018-07-01,EOSBTC,0.001271,0.001288,0.001234,0.001276,5365338.82,6772.19
2018-06-30,EOSBTC,0.001249,0.001305,0.001244,0.001271,5982879.17,7548.58
2018-06-29,EOSBTC,0.001258,0.001275,0.001221,0.001249,5499108.23,6844.54
2018-06-28,EOSBTC,0.001304,0.001313,0.00124,0.001258,4543191.95,5820.87
2018-06-27,EOSBTC,0.001246,0.001345,0.00123,0.001304,5085426.61,6465.87
2018-06-26,EOSBTC,0.001334,0.001344,0.001244,0.001246,3379748.24,4341.22
2018-06-25,EOSBTC,0.001312,0.001375,0.001259,0.001334,5711767.81,7549.06
2018-06-24,EOSBTC,0.001374,0.00138,0.001205,0.001312,6859710.39,8769.9
2018-06-23,EOSBTC,0.00141,0.001423,0.001341,0.001374,6208687.96,8521.18
2018-06-22,EOSBTC,0.001548,0.001551,0.001372,0.00141,8033975.31,11652.73
2018-06-21,EOSBTC,0.001539,0.001597,0.001526,0.001548,6292517.86,9790.35
2018-06-20,EOSBTC,0.001581,0.001602,0.001534,0.001539,6489281.72,10099.91
2018-06-19,EOSBTC,0.001592,0.001606,0.00155,0.001581,5956710.73,9375.86
2018-06-18,EOSBTC,0.001601,0.001616,0.001575,0.001592,6934561.4,11018.67
2018-06-17,EOSBTC,0.001624,0.001643,0.001591,0.001601,1576835.27,2556.13
2018-06-16,EOSBTC,0.001668,0.001677,0.0016,0.001624,4013356.53,6592.97
2018-06-15,EOSBTC,0.001695,0.001721,0.00165,0.001668,4626505.13,7788.79
2018-06-14,EOSBTC,0.001595,0.001764,0.00151,0.001695,6882580.38,11205.51
2018-06-13,EOSBTC,0.001545,0.001621,0.00148,0.001595,7862147.13,12122.37
2018-06-12,EOSBTC,0.001712,0.00172,0.0015,0.001545,5913559.23,9556.56
2018-06-11,EOSBTC,0.001733,0.001737,0.001604,0.001712,7677636.2,12863.53
2018-06-10,EOSBTC,0.001888,0.001893,0.001651,0.001733,10024534.31,18123.52
2018-06-09,EOSBTC,0.001837,0.001959,0.001835,0.001888,8171634.82,15569.42
2018-06-08,EOSBTC,0.001908,0.001937,0.001779,0.001837,8624254.58,15892.16
2018-06-07,EOSBTC,0.001816,0.001914,0.001774,0.001908,8197053.03,14876.84
2018-06-06,EOSBTC,0.001862,0.001873,0.001785,0.001816,9024806.54,16455.91
2018-06-05,EOSBTC,0.001798,0.001889,0.001733,0.001862,9267056.7,16812.43
2018-06-04,EOSBTC,0.001883,0.00192,0.001776,0.001798,10326938.42,18831.66
2018-06-03,EOSBTC,0.001919,0.001995,0.001858,0.001883,5017675.19,9636.24
2018-06-02,EOSBTC,0.001624,0.002045,0.00162,0.001919,13364327.6,24817.7
2018-06-01,EOSBTC,0.001634,0.001668,0.001595,0.001624,8714371.39,14125.23
2018-05-31,EOSBTC,0.001611,0.001677,0.001603,0.001634,9474579.88,15526.17
2018-05-30,EOSBTC,0.001626,0.001662,0.001588,0.001611,9352037.69,15198.8
2018-05-29,EOSBTC,0.001617,0.00166,0.001506,0.001626,11101944.05,17686.26
2018-05-28,EOSBTC,0.00169,0.00175,0.0016,0.001617,11628915.81,19487.01
2018-05-27,EOSBTC,0.001667,0.001709,0.001644,0.00169,9522719.06,16004.26
2018-05-26,EOSBTC,0.00163,0.001699,0.0016,0.001667,5093294.43,8473.29
2018-05-25,EOSBTC,0.001681,0.00169,0.001576,0.00163,7569548.12,12308.55
2018-05-24,EOSBTC,0.001423,0.001699,0.001407,0.001681,7324989.33,11269.0
2018-05-23,EOSBTC,0.001516,0.00154,0.001386,0.001423,8469451.34,12319.57
2018-05-22,EOSBTC,0.001599,0.001602,0.001507,0.001516,5507837.9,8559.49
2018-05-21,EOSBTC,0.001633,0.001659,0.001559,0.001599,5574521.13,8958.81
2018-05-20,EOSBTC,0.001594,0.001675,0.001581,0.001633,7772160.02,12694.98
2018-05-19,EOSBTC,0.001569,0.00161,0.001529,0.001594,5553800.62,8705.29
2018-05-18,EOSBTC,0.001521,0.001594,0.001496,0.001569,6456261.86,9987.96
2018-05-17,EOSBTC,0.001517,0.001669,0.001497,0.001521,8876643.39,14012.9
2018-05-16,EOSBTC,0.001512,0.001543,0.001453,0.001517,6991561.23,10412.83
2018-05-15,EOSBTC,0.001591,0.001631,0.001474,0.001512,6276075.22,9780.71
2018-05-14,EOSBTC,0.001682,0.001698,0.001559,0.001591,4727160.24,7680.37
2018-05-13,EOSBTC,0.001648,0.001733,0.001606,0.001682,4262364.75,7106.71
2018-05-12,EOSBTC,0.00176,0.001786,0.00152,0.001648,9034266.79,14688.6
2018-05-11,EOSBTC,0.00192,0.001968,0.00167,0.00176,8323875.63,14769.37
2018-05-10,EOSBTC,0.001904,0.002,0.00188,0.00192,3840999.04,7458.56
2018-05-09,EOSBTC,0.001953,0.001962,0.001889,0.001904,2931350.32,5618.23
2018-05-08,EOSBTC,0.001898,0.002008,0.001877,0.001953,4525824.71,8847.77
2018-05-07,EOSBTC,0.001798,0.001991,0.001766,0.001898,7366438.06,13981.91
2018-05-06,EOSBTC,0.001796,0.001867,0.001721,0.001798,4449987.48,7960.08
2018-05-05,EOSBTC,0.001749,0.001925,0.001749,0.001796,5556284.29,10209.12
2018-05-04,EOSBTC,0.001813,0.001874,0.0017,0.001749,5797017.36,10273.73
2018-05-03,EOSBTC,0.002074,0.002089,0.00175,0.001813,8330455.93,15855.15
2018-05-02,EOSBTC,0.00207,0.002142,0.002007,0.002074,5915012.44,12186.19
2018-05-01,EOSBTC,0.001894,0.002096,0.001785,0.00207,9836234.35,18886.15
2018-04-30,EOSBTC,0.002275,0.00229,0.001801,0.001894,14197831.78,28179.67
2018-04-29,EOSBTC,0.002009,0.00244,0.002005,0.002275,13041401.53,28825.98
2018-04-28,EOSBTC,0.001859,0.002082,0.00185,0.002009,8735624.89,17395.3
2018-04-27,EOSBTC,0.001666,0.001939,0.001615,0.001859,7884404.77,14168.43
2018-04-26,EOSBTC,0.001626,0.001692,0.001596,0.001666,5159142.27,8532.94
2018-04-25,EOSBTC,0.001558,0.001686,0.001461,0.001626,10957072.88,17163.16
2018-04-24,EOSBTC,0.001298,0.0017,0.001296,0.001563,13472676.67,20281.76
2018-04-23,EOSBTC,0.001284,0.001323,0.001277,0.001298,3454065.44,4484.68
2018-04-22,EOSBTC,0.001244,0.001325,0.001218,0.001284,4216842.35,5443.71
2018-04-21,EOSBTC,0.001293,0.00132,0.001184,0.001244,4985436.37,6204.85
2018-04-20,EOSBTC,0.001143,0.00135,0.001141,0.001293,9761617.33,12065.98
2018-04-19,EOSBTC,0.001108,0.001143,0.001089,0.001143,4704523.43,5267.69
2018-04-18,EOSBTC,0.001074,0.00113,0.001069,0.001108,3614570.03,3949.67
2018-04-17,EOSBTC,0.001005,0.00112,0.001005,0.001074,6186557.32,6705.07
2018-04-16,EOSBTC,0.001018,0.001033,0.00099,0.001005,3321199.06,3336.57
2018-04-15,EOSBTC,0.001091,0.001092,0.0009738,0.001018,5449451.25,5575.63
2018-04-14,EOSBTC,0.001118,0.001142,0.001023,0.001091,5066679.84,5452.42
2018-04-13,EOSBTC,0.001116,0.00122,0.001096,0.001118,6382903.23,7312.22
