Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume BTC
2019-03-05,ETHBTC,0.0339,0.0356,0.0339,0.0355,97.36,3.352
2019-03-04,ETHBTC,0.0343,0.0343,0.0332,0.0339,75.57,2.544
2019-03-03,ETHBTC,0.0342,0.0351,0.0332,0.0343,73.34,2.548
2019-03-02,ETHBTC,0.0356,0.036,0.0338,0.0342,57.44,1.988
2019-03-01,ETHBTC,0.0357,0.0357,0.0343,0.0356,73.56,2.547
2019-02-28,ETHBTC,0.0351,0.0364,0.0344,0.0357,39.43,1.396
2019-02-27,ETHBTC,0.0354,0.0363,0.0347,0.0351,31.97,1.142
2019-02-26,ETHBTC,0.0361,0.0368,0.0353,0.0354,77.66,2.758
2019-02-25,ETHBTC,0.0359,0.0369,0.0351,0.0361,22.47,0.8124
2019-02-24,ETHBTC,0.0381,0.04,0.0352,0.0359,356.67,13.34
2019-02-23,ETHBTC,0.0372,0.0394,0.037,0.0381,205.73,7.8
2019-02-22,ETHBTC,0.0367,0.0372,0.0367,0.0372,396.62,14.69
2019-02-21,ETHBTC,0.0371,0.0375,0.0364,0.0367,49.63,1.818
2019-02-20,ETHBTC,0.0367,0.0371,0.0361,0.0371,48.89,1.787
2019-02-19,ETHBTC,0.0376,0.038,0.0367,0.0367,190.46,7.087
2019-02-18,ETHBTC,0.0367,0.0381,0.0364,0.0376,314.35,11.73
2019-02-17,ETHBTC,0.034,0.0369,0.0338,0.0367,179.62,6.376
2019-02-16,ETHBTC,0.0337,0.0341,0.0337,0.034,110.21,3.732
2019-02-15,ETHBTC,0.0337,0.034,0.0335,0.0337,541.47,18.24
2019-02-14,ETHBTC,0.0338,0.0344,0.0336,0.0337,67.56,2.289
2019-02-13,ETHBTC,0.0333,0.0341,0.0333,0.0338,63.62,2.157
2019-02-12,ETHBTC,0.0333,0.0338,0.0327,0.0333,806.3,26.8
2019-02-11,ETHBTC,0.034,0.034,0.0301,0.0333,588.48,19.41
2019-02-10,ETHBTC,0.0326,0.034,0.032,0.034,116.15,3.782
2019-02-09,ETHBTC,0.0326,0.0329,0.0324,0.0326,32.29,1.048
2019-02-08,ETHBTC,0.031,0.033,0.0306,0.0326,82.65,2.622
2019-02-07,ETHBTC,0.0307,0.0311,0.0306,0.031,79.8,2.453
2019-02-06,ETHBTC,0.0308,0.0315,0.03,0.0307,51.88,1.58
2019-02-05,ETHBTC,0.0314,0.0314,0.0307,0.0308,113.21,3.49
2019-02-04,ETHBTC,0.0313,0.0314,0.0309,0.0314,31.01,0.9627
2019-02-03,ETHBTC,0.0315,0.0319,0.0309,0.0313,16.29,0.5171
2019-02-02,ETHBTC,0.031,0.0315,0.0308,0.0315,30.03,0.9364
2019-02-01,ETHBTC,0.0313,0.0313,0.0304,0.031,65.65,2.017
2019-01-31,ETHBTC,0.0312,0.0318,0.031,0.0313,33.6,1.052
2019-01-30,ETHBTC,0.0307,0.0318,0.0304,0.0312,37.49,1.168
2019-01-29,ETHBTC,0.0308,0.0313,0.0304,0.0307,96.51,2.981
2019-01-28,ETHBTC,0.0317,0.0317,0.0298,0.0308,57.45,1.759
2019-01-27,ETHBTC,0.0321,0.0326,0.0315,0.0317,17.25,0.5519
2019-01-26,ETHBTC,0.0322,0.0326,0.0321,0.0321,17.61,0.568
2019-01-25,ETHBTC,0.0324,0.0324,0.0322,0.0322,17.73,0.5715
2019-01-24,ETHBTC,0.0327,0.0327,0.0324,0.0324,51.69,1.681
2019-01-23,ETHBTC,0.0329,0.0331,0.0325,0.0327,48.67,1.606
2019-01-22,ETHBTC,0.0328,0.0332,0.0324,0.0329,31.73,1.042
2019-01-21,ETHBTC,0.033,0.0337,0.032,0.0328,24.33,0.8006
2019-01-20,ETHBTC,0.0334,0.0341,0.0329,0.033,54.54,1.825
2019-01-19,ETHBTC,0.0334,0.0342,0.033,0.0334,30.72,1.033
2019-01-18,ETHBTC,0.0337,0.0342,0.0327,0.0334,135.12,4.512
2019-01-17,ETHBTC,0.0337,0.0344,0.0332,0.0337,37.16,1.241
2019-01-16,ETHBTC,0.0336,0.0344,0.033,0.0337,35.7,1.206
2019-01-15,ETHBTC,0.0349,0.035,0.0327,0.0336,79.71,2.741
2019-01-14,ETHBTC,0.033,0.0354,0.0328,0.0349,152.53,5.153
2019-01-13,ETHBTC,0.0343,0.0349,0.0326,0.033,129.38,4.395
2019-01-12,ETHBTC,0.0344,0.0348,0.0343,0.0343,140.45,4.86
2019-01-11,ETHBTC,0.0348,0.0359,0.0333,0.0344,63.01,2.193
2019-01-10,ETHBTC,0.0375,0.0375,0.0341,0.0348,183.86,6.454
2019-01-09,ETHBTC,0.0368,0.038,0.0368,0.0375,17.61,0.6636
2019-01-08,ETHBTC,0.0377,0.0377,0.0368,0.0368,32.85,1.22
2019-01-07,ETHBTC,0.0386,0.0388,0.0375,0.0377,109.51,4.19
2019-01-06,ETHBTC,0.0406,0.0426,0.0384,0.0386,178.65,7.066
2019-01-05,ETHBTC,0.0404,0.0417,0.0404,0.0406,149.83,6.179
2019-01-04,ETHBTC,0.0392,0.0412,0.0386,0.0404,173.19,6.96
2019-01-03,ETHBTC,0.0396,0.0402,0.0379,0.0392,52.04,2.05
2019-01-02,ETHBTC,0.0365,0.04,0.0365,0.0396,213.82,8.187
2019-01-01,ETHBTC,0.0356,0.037,0.0355,0.0365,77.53,2.843
2018-12-31,ETHBTC,0.036,0.0366,0.0356,0.0356,161.72,5.849
2018-12-30,ETHBTC,0.0365,0.0366,0.0354,0.036,67.12,2.4
2018-12-29,ETHBTC,0.0354,0.0375,0.0342,0.0365,209.36,7.39
2018-12-28,ETHBTC,0.032,0.0354,0.0314,0.0354,209.29,6.835
2018-12-27,ETHBTC,0.0343,0.0344,0.0315,0.032,284.84,9.287
2018-12-26,ETHBTC,0.0344,0.0354,0.0336,0.0343,93.57,3.258
2018-12-25,ETHBTC,0.0347,0.0354,0.0331,0.0344,169.14,5.757
2018-12-24,ETHBTC,0.033,0.0375,0.033,0.0347,197.83,6.993
2018-12-23,ETHBTC,0.0291,0.033,0.0291,0.033,562.29,17.73
2018-12-22,ETHBTC,0.0289,0.0294,0.0281,0.0291,95.4,2.762
2018-12-21,ETHBTC,0.028,0.029,0.0272,0.0289,215.3,6.099
2018-12-20,ETHBTC,0.0271,0.0292,0.0268,0.028,303.86,8.49
2018-12-19,ETHBTC,0.0273,0.0282,0.027,0.0271,275.63,7.56
2018-12-18,ETHBTC,0.0268,0.0275,0.0264,0.0273,336.63,9.018
2018-12-17,ETHBTC,0.0263,0.0272,0.0262,0.0268,101.9,2.708
2018-12-16,ETHBTC,0.026,0.0272,0.026,0.0263,179.48,4.781
2018-12-15,ETHBTC,0.0266,0.0266,0.0259,0.026,145.68,3.824
2018-12-14,ETHBTC,0.0263,0.0269,0.026,0.0266,172.3,4.517
2018-12-13,ETHBTC,0.026,0.0266,0.026,0.0263,28.62,0.7543
2018-12-12,ETHBTC,0.026,0.0265,0.026,0.026,158.55,4.166
2018-12-11,ETHBTC,0.0264,0.0268,0.0259,0.026,113.73,2.993
2018-12-10,ETHBTC,0.0263,0.0268,0.0259,0.0264,166.13,4.376
2018-12-09,ETHBTC,0.0266,0.027,0.0263,0.0263,153.27,4.063
2018-12-08,ETHBTC,0.0275,0.0281,0.0257,0.0266,266.14,7.083
2018-12-07,ETHBTC,0.0262,0.0278,0.0248,0.0275,270.43,7.083
