Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BCH,Volume BTC
2018-07-09,BCHBTC,0.112,0.1128,0.1099,0.1099,18.42,2.061
2018-07-08,BCHBTC,0.1135,0.115,0.1108,0.112,8.001,0.9011
2018-07-07,BCHBTC,0.111,0.1138,0.1096,0.1135,50.79,5.725
2018-07-06,BCHBTC,0.112,0.116,0.109,0.111,10.01,1.111
2018-07-05,BCHBTC,0.1185,0.1185,0.1109,0.112,6.459,0.738
2018-07-04,BCHBTC,0.1164,0.1197,0.115,0.1185,10.88,1.27
2018-07-03,BCHBTC,0.1182,0.1245,0.1162,0.1164,11.16,1.341
2018-07-02,BCHBTC,0.1162,0.121,0.1145,0.1182,7.271,0.85
2018-07-01,BCHBTC,0.1143,0.1177,0.1143,0.1162,2.645,0.3047
2018-06-30,BCHBTC,0.118,0.121,0.1143,0.1143,11.98,1.414
2018-06-29,BCHBTC,0.1112,0.1187,0.11,0.118,23.38,2.64
2018-06-28,BCHBTC,0.1188,0.1188,0.1112,0.1112,12.9,1.477
2018-06-27,BCHBTC,0.1161,0.119,0.1147,0.1188,1.261,0.1454
2018-06-26,BCHBTC,0.1219,0.1236,0.1161,0.1161,4.736,0.562
2018-06-25,BCHBTC,0.1217,0.1263,0.1201,0.1219,15.63,1.912
2018-06-24,BCHBTC,0.1231,0.124,0.1141,0.1217,25.96,3.105
2018-06-23,BCHBTC,0.1227,0.1262,0.1218,0.1231,5.515,0.6791
2018-06-22,BCHBTC,0.13,0.13,0.121,0.1227,22.11,2.765
2018-06-21,BCHBTC,0.1308,0.1327,0.1286,0.13,6.986,0.9111
2018-06-20,BCHBTC,0.1327,0.1349,0.1307,0.1308,10.48,1.378
2018-06-19,BCHBTC,0.1311,0.135,0.1305,0.1327,12.32,1.638
2018-06-18,BCHBTC,0.13,0.1331,0.1282,0.1311,12.97,1.682
2018-06-17,BCHBTC,0.1301,0.132,0.1282,0.13,21.17,2.75
2018-06-16,BCHBTC,0.1305,0.134,0.13,0.1301,31.99,4.257
2018-06-15,BCHBTC,0.1329,0.1369,0.1305,0.1305,44.64,5.858
2018-06-14,BCHBTC,0.1301,0.1401,0.13,0.1329,118.72,16.54
2018-06-13,BCHBTC,0.1388,0.1388,0.1279,0.1301,30.2,3.929
2018-06-12,BCHBTC,0.14,0.1435,0.1325,0.1388,123.76,17.34
2018-06-11,BCHBTC,0.1399,0.144,0.136,0.14,33.68,4.673
2018-06-10,BCHBTC,0.1455,0.1455,0.1352,0.1399,34.28,4.821
2018-06-09,BCHBTC,0.1489,0.1489,0.1446,0.1455,3.053,0.4488
2018-06-08,BCHBTC,0.1493,0.1495,0.1431,0.1489,13.09,1.919
2018-06-07,BCHBTC,0.1483,0.1515,0.1474,0.1493,9.696,1.45
2018-06-06,BCHBTC,0.1497,0.15,0.1474,0.1483,5.583,0.8291
2018-06-05,BCHBTC,0.1491,0.1519,0.143,0.1497,17.88,2.648
2018-06-04,BCHBTC,0.1501,0.1587,0.1445,0.1491,65.53,9.945
2018-06-03,BCHBTC,0.1411,0.1554,0.1404,0.1501,55.92,8.35
2018-06-02,BCHBTC,0.1321,0.144,0.1321,0.1411,19.71,2.684
2018-06-01,BCHBTC,0.1337,0.134,0.1321,0.1321,6.795,0.901
2018-05-31,BCHBTC,0.1362,0.1362,0.1322,0.1337,4.84,0.6444
2018-05-30,BCHBTC,0.1346,0.1369,0.131,0.1362,9.751,1.325
2018-05-29,BCHBTC,0.1234,0.135,0.123,0.1346,24.18,3.056
2018-05-28,BCHBTC,0.1359,0.137,0.1232,0.1234,21.68,2.767
2018-05-27,BCHBTC,0.136,0.1369,0.131,0.1359,11.51,1.552
2018-05-26,BCHBTC,0.1349,0.1398,0.1336,0.136,27.67,3.769
2018-05-25,BCHBTC,0.1416,0.1416,0.1343,0.1349,8.453,1.176
2018-05-24,BCHBTC,0.1332,0.1416,0.1271,0.1416,34.12,4.557
2018-05-23,BCHBTC,0.1435,0.1435,0.1275,0.1332,50.71,6.744
