Created on 05-15-2020,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETC,Volume ETH
2020-01-12,ETCETH,0.03917,0.03921,0.03723,0.03813,2158690.2,82433.35
2020-01-11,ETCETH,0.03691,0.04,0.03688,0.03917,2862708.26,111388.11
2020-01-10,ETCETH,0.03763,0.03771,0.03588,0.03691,1712687.66,63091.23
2020-01-09,ETCETH,0.03517,0.03772,0.03514,0.03763,1307919.41,47683.23
2020-01-08,ETCETH,0.03383,0.03584,0.03318,0.03517,2006472.61,68779.61
2020-01-07,ETCETH,0.0349,0.03506,0.03346,0.03383,2502480.73,85319.08
2020-01-06,ETCETH,0.03609,0.0377,0.03455,0.0349,2293809.94,81673.7
2020-01-05,ETCETH,0.03545,0.03656,0.03516,0.03609,1234488.82,44268.4
2020-01-04,ETCETH,0.03401,0.03561,0.03393,0.03545,1264967.21,43769.23
2020-01-03,ETCETH,0.03325,0.03459,0.03301,0.03401,1773291.13,59764.04
2020-01-02,ETCETH,0.03447,0.03455,0.03284,0.03325,1341966.46,45389.51
2020-01-01,ETCETH,0.03481,0.03501,0.03407,0.03447,1254719.82,43324.01
2019-12-31,ETCETH,0.03512,0.03616,0.03454,0.03481,1690238.89,59277.78
2019-12-30,ETCETH,0.03459,0.03644,0.03409,0.03512,1529090.23,53287.89
2019-12-29,ETCETH,0.0345,0.0378,0.03374,0.03459,1914813.11,66759.49
2019-12-28,ETCETH,0.03571,0.03598,0.03438,0.0345,1456442.76,50997.44
2019-12-27,ETCETH,0.03578,0.037,0.03508,0.03571,1875290.8,67041.08
2019-12-26,ETCETH,0.03227,0.03734,0.03224,0.03578,1724599.27,58476.33
2019-12-25,ETCETH,0.03077,0.03252,0.03077,0.03227,1360953.43,43416.5
2019-12-24,ETCETH,0.03122,0.03124,0.03048,0.03077,1610189.95,49710.85
2019-12-23,ETCETH,0.03173,0.03194,0.03077,0.03122,2343393.96,73625.97
2019-12-22,ETCETH,0.0322,0.03344,0.03142,0.03173,2258676.99,72844.21
2019-12-21,ETCETH,0.03161,0.03286,0.03128,0.0322,1890001.43,60510.7
2019-12-20,ETCETH,0.02908,0.03288,0.02904,0.03161,1723538.99,52453.4
2019-12-19,ETCETH,0.02838,0.02963,0.02834,0.02908,1940508.77,56473.59
2019-12-18,ETCETH,0.02847,0.02901,0.02817,0.02838,2259741.27,64355.39
2019-12-17,ETCETH,0.02776,0.02857,0.02745,0.02847,1915720.4,53641.01
2019-12-16,ETCETH,0.02673,0.02832,0.02665,0.02776,1513138.87,41257.01
2019-12-15,ETCETH,0.02676,0.02701,0.02658,0.02673,1257524.48,33633.11
2019-12-14,ETCETH,0.02664,0.02681,0.02644,0.02676,1202987.45,32075.0
2019-12-13,ETCETH,0.02635,0.0269,0.02627,0.02664,1102994.65,29376.59
2019-12-12,ETCETH,0.0263,0.02668,0.02621,0.02635,1482355.72,39087.69
2019-12-11,ETCETH,0.02595,0.0265,0.0259,0.0263,605345.08,15858.1
2019-12-10,ETCETH,0.02577,0.02599,0.02543,0.02595,708851.35,18211.67
2019-12-09,ETCETH,0.02592,0.02636,0.02566,0.02577,1229058.97,31975.62
2019-12-08,ETCETH,0.02627,0.02634,0.0258,0.02592,1357049.62,35416.81
2019-12-07,ETCETH,0.02619,0.0265,0.02602,0.02627,1671524.16,43926.3
2019-12-06,ETCETH,0.02556,0.02636,0.0255,0.02619,2150176.52,55824.71
2019-12-05,ETCETH,0.02579,0.02599,0.02549,0.02556,2211856.43,56863.81
2019-12-04,ETCETH,0.02599,0.02607,0.02548,0.02579,1229983.23,31650.66
2019-12-03,ETCETH,0.02588,0.02634,0.02585,0.02599,1258254.74,32803.04
2019-12-02,ETCETH,0.02603,0.02624,0.02558,0.02588,992035.52,25756.15
2019-12-01,ETCETH,0.02597,0.0265,0.02583,0.02603,1041156.1,27233.04
2019-11-30,ETCETH,0.02642,0.02654,0.02577,0.02597,912040.36,23855.11
2019-11-29,ETCETH,0.02613,0.0266,0.0259,0.02642,829911.05,21793.71
2019-11-28,ETCETH,0.02589,0.0264,0.02535,0.02613,961318.7,25000.75
2019-11-27,ETCETH,0.02625,0.02642,0.02555,0.02589,938296.74,24441.87
2019-11-26,ETCETH,0.02587,0.02656,0.02578,0.02625,800859.43,20991.66
2019-11-25,ETCETH,0.02644,0.02699,0.02578,0.02587,1207400.4,31910.68
2019-11-24,ETCETH,0.02629,0.02652,0.02606,0.02644,2256987.62,59306.48
2019-11-23,ETCETH,0.02584,0.02648,0.0254,0.02629,1581861.96,40994.08
2019-11-22,ETCETH,0.02596,0.02664,0.0252,0.02584,1553626.47,40304.54
2019-11-21,ETCETH,0.02481,0.02608,0.02477,0.02596,1631009.97,41381.86
2019-11-20,ETCETH,0.02491,0.02508,0.02464,0.02481,1726491.04,42994.56
2019-11-19,ETCETH,0.02454,0.02556,0.02446,0.02491,1988175.2,49407.3
2019-11-18,ETCETH,0.0251,0.02525,0.02378,0.02454,1268008.36,31408.64
2019-11-17,ETCETH,0.02541,0.02554,0.02498,0.0251,1834496.13,46422.61
2019-11-16,ETCETH,0.02534,0.02552,0.02521,0.02541,1640081.71,41552.75
2019-11-15,ETCETH,0.02571,0.02604,0.02483,0.02534,1552548.93,39758.99
2019-11-14,ETCETH,0.02578,0.02606,0.02538,0.02571,1460298.42,37526.32
2019-11-13,ETCETH,0.02625,0.02636,0.02566,0.02578,1473766.48,38391.14
2019-11-12,ETCETH,0.02649,0.02655,0.02617,0.02625,1582308.31,41709.15
2019-11-11,ETCETH,0.02668,0.02672,0.02595,0.02649,1411825.41,37255.22
2019-11-10,ETCETH,0.02685,0.02712,0.0261,0.02668,1425263.02,38030.76
2019-11-09,ETCETH,0.02705,0.02742,0.02667,0.02685,1781970.35,48072.23
2019-11-08,ETCETH,0.02807,0.02817,0.02632,0.02705,1654445.52,45449.5
2019-11-07,ETCETH,0.02656,0.02868,0.02644,0.02807,1765089.66,48355.46
2019-11-06,ETCETH,0.02663,0.02726,0.02632,0.02658,1394081.59,37032.52
2019-11-05,ETCETH,0.02669,0.02685,0.02613,0.02663,1426078.23,37898.38
2019-11-04,ETCETH,0.02687,0.0272,0.02642,0.02669,1696913.79,45473.91
2019-11-03,ETCETH,0.02691,0.02718,0.02678,0.02687,1651291.27,44556.14
2019-11-02,ETCETH,0.02663,0.0274,0.02653,0.02691,1641692.0,43935.69
2019-11-01,ETCETH,0.02635,0.02711,0.02631,0.02663,1895232.9,50672.36
2019-10-31,ETCETH,0.02614,0.0272,0.02603,0.02635,1999956.68,52874.21
2019-10-30,ETCETH,0.02588,0.02648,0.02571,0.02614,2118876.32,55519.96
2019-10-29,ETCETH,0.02608,0.02798,0.0256,0.02588,2099554.92,55502.55
2019-10-28,ETCETH,0.02604,0.02704,0.02589,0.02608,1884646.05,49547.25
2019-10-27,ETCETH,0.0255,0.02648,0.0254,0.02604,2065667.76,53397.15
2019-10-26,ETCETH,0.02613,0.02615,0.02505,0.0255,2167650.93,55407.01
2019-10-25,ETCETH,0.02655,0.02712,0.02593,0.02613,2145964.26,56654.14
2019-10-24,ETCETH,0.02624,0.02695,0.02613,0.02655,1914186.56,50694.67
2019-10-23,ETCETH,0.02602,0.02653,0.02565,0.02624,1884220.64,49373.89
2019-10-22,ETCETH,0.02636,0.02663,0.02584,0.02602,1206523.43,31811.92
2019-10-21,ETCETH,0.02569,0.02671,0.02551,0.02636,1601427.67,41504.46
2019-10-20,ETCETH,0.0257,0.02599,0.02552,0.02569,1220319.1,31402.51
2019-10-19,ETCETH,0.0255,0.02589,0.02539,0.0257,1108167.43,28329.02
2019-10-18,ETCETH,0.02538,0.02576,0.02534,0.0255,1680983.03,42925.13
2019-10-17,ETCETH,0.02534,0.02568,0.02522,0.02538,1803049.98,45860.69
2019-10-16,ETCETH,0.02515,0.02615,0.02385,0.02534,1564674.08,39725.78
2019-10-15,ETCETH,0.02565,0.02587,0.0249,0.02515,1455850.01,36916.42
2019-10-14,ETCETH,0.02619,0.02638,0.02548,0.02565,1486235.51,38693.72
2019-10-13,ETCETH,0.02618,0.02633,0.0258,0.02619,1168524.96,30397.77
2019-10-12,ETCETH,0.0257,0.02632,0.02542,0.02618,1310227.75,33715.4
2019-10-11,ETCETH,0.02526,0.02609,0.02497,0.0257,1384081.19,35427.75
2019-10-10,ETCETH,0.02628,0.02647,0.02524,0.02526,1844793.47,47858.65
2019-10-09,ETCETH,0.02557,0.02714,0.02471,0.02628,1910936.36,49279.57
2019-10-08,ETCETH,0.02594,0.02603,0.02538,0.02557,1845258.34,47370.86
2019-10-07,ETCETH,0.02641,0.02649,0.02576,0.02594,1949417.58,51014.18
2019-10-06,ETCETH,0.02617,0.02672,0.0256,0.02641,2026164.8,53302.83
2019-10-05,ETCETH,0.0261,0.02655,0.02599,0.02617,1948727.29,51176.64
2019-10-04,ETCETH,0.02637,0.02654,0.02597,0.0261,1953248.98,51255.3
