ID,specific_sheet_name,Year,quantity-type,quantity-value,quantity-units,FILING,FILETYPE,CIK,COMNAM,datadate,filingdate,NEG,POS,TWORDS,TONE,ACQ,LINK
3027,consolidated balance sheets,2015,Total assets,733071000,thousands,3027,10-K,767405,"SB FINANCIAL GROUP, INC.",31DEC2015,11MAR2016,61,41,4808,-0.004159734,0,edgar/data/767405/0001213900-16-011513.txt
3029,consolidated balance sheets,2015,Total assets,2729904000,thousands,3029,10-K,1013462,ANSYS INC,31DEC2015,25FEB2016,86,82,11080,-0.000361011,40,edgar/data/1013462/0001013462-16-000017.txt
3032,consolidated balance sheets,2015,Total assets,32210000,thousands,3032,10-K,920448,BROADVISION INC,31DEC2015,14APR2016,46,24,3779,-0.005821646,1,edgar/data/920448/0000920448-16-000127.txt
3036,consolidated balance sheets,2015,Total assets,168,thousands,3036,10-K,1014111,IMATION CORP,31DEC2015,15MAR2016,326,83,12615,-0.019262782,17,edgar/data/1014111/0001014111-16-000044.txt
3038,consolidated balance sheets,2016,TOTAL ASSETS,1019161000,thousands,3038,10-K,1013237,FACTSET RESEARCH SYSTEMS INC,31AUG2016,31OCT2016,122,136,14534,0.0009632586,24,edgar/data/1013237/0001437749-16-040606.txt
3042,consolidated balance sheets,2015,Total assets,41904647,thousands,3042,10-K,911148,CADUS CORP,31DEC2015,30MAR2016,25,8,1989,-0.008547009,4,edgar/data/911148/0001144204-16-091416.txt
3045,consolidated balance sheets,2015,Total assets,560736,thousands,3045,10-K,1016708,"RenovaCare, Inc.",31DEC2015,28MAR2016,28,10,2031,-0.008862629,1,edgar/data/1016708/0001477932-16-009210.txt
3048,consolidated balance sheets,2015,Total assets,248434000,thousands,3048,10-K,1013934,STRAYER EDUCATION INC,31DEC2015,19FEB2016,69,18,5010,-0.010179641,4,edgar/data/1013934/0001213900-16-011094.txt
3050,consolidated balance sheets,2015,Total assets,43770000,thousands,3050,10-K,1013706,"Wilhelmina International, Inc.",31DEC2015,29MAR2016,16,22,1986,0.003021148,4,edgar/data/1013706/0001171843-16-008877.txt
3056,consolidated balance sheets,2016,Total assets,7562000,thousands,3056,10-K,1006028,"PURE BIOSCIENCE, INC.",31JUL2016,27OCT2016,54,25,4290,-0.006759907,0,edgar/data/1006028/0001493152-16-014317.txt
3058,consolidated balance sheets,2015,Total assets,837353000,thousands,3058,10-K,1016281,CARRIAGE SERVICES INC,31DEC2015,23FEB2016,127,89,16513,-0.002301217,28,edgar/data/1016281/0001016281-16-000161.txt
3062,consolidated balance sheets,2015,TOTAL ASSETS,2448,thousands,3062,10-K,1103833,"Crown Equity Holdings, Inc.",31DEC2015,19SEP2016,12,4,1006,-0.007952286,0,edgar/data/1103833/0001477932-16-012552.txt
3066,consolidated balance sheets,2015,Total assets,14042000,thousands,3066,10-K,65770,"MICROVISION, INC.",31DEC2015,08MAR2016,46,50,5069,0.0007891103,0,edgar/data/65770/0001136261-16-000410.txt
3069,consolidated balance sheets,2015,Total assets,414855470,thousands,3069,10-K,315849,SOUTHWEST GEORGIA FINANCIAL CORP,31DEC2015,30MAR2016,66,54,4733,-0.00253539,0,edgar/data/315849/0000315849-16-000045.txt
3072,consolidated balance sheets,2015,Total assets,7404809000,thousands,3072,10-K,873860,OCWEN FINANCIAL CORP,31DEC2015,29FEB2016,412,220,20578,-0.009330353,10,edgar/data/873860/0001628280-16-011876.txt
3075,consolidated balance sheets,2015,Total assets,421220000,thousands,3075,10-K,831547,SPECTRUM PHARMACEUTICALS INC,31DEC2015,14MAR2016,84,40,6777,-0.006492548,12,edgar/data/831547/0000831547-16-000059.txt
3079,consolidated balance sheets,2015,Total Assets,84562171,thousands,3079,10-K,1016169,"ANTARES PHARMA, INC.",31DEC2015,08MAR2016,54,28,6526,-0.003984064,2,edgar/data/1016169/0001564590-16-014226.txt
3084,consolidated balance sheets,2015,Total assets,175350,thousands,3084,10-K,45947,HARTFORD LIFE INSURANCE CO,31DEC2015,26FEB2016,318,143,20000,-0.00875,4,edgar/data/45947/0000045947-16-000018.txt
3087,consolidated balance sheets,2015,TOTAL ASSETS,7703014,thousands,3087,10-K,829325,"SPYR, Inc.",31DEC2015,24MAR2016,33,16,2773,-0.006130545,4,edgar/data/829325/0001262463-16-000892.txt
3096,consolidated balance sheets,2016,Total assets,848099000,thousands,3096,10-K,6885,STAGE STORES INC,31JAN2016,30MAR2016,71,81,6414,0.0015590895,3,edgar/data/6885/0000006885-16-000411.txt
3101,consolidated balance sheets,2016,Total assets,2852155000,thousands,3101,10-K,1020859,UNITED NATURAL FOODS INC,31JUL2016,28SEP2016,131,83,12097,-0.003967926,19,edgar/data/1020859/0001020859-16-000356.txt
3104,consolidated balance sheets,2015,Total assets,2742512000,thousands,3104,10-K,1006837,"HC2 Holdings, Inc.",31DEC2015,15MAR2016,311,120,19623,-0.009733476,41,edgar/data/1006837/0001006837-16-000033.txt
3108,consolidated balance sheets,2015,Total Assets,2733700,thousands,3108,10-K,1021435,hopTo Inc.,31DEC2015,30MAR2016,0,2,355,0.0056338028,0,edgar/data/1021435/0001493152-16-008418.txt
3110,consolidated balance sheets,2015,Total assets,6202082000,thousands,3110,10-K,1022671,STEEL DYNAMICS INC,31DEC2015,26FEB2016,155,66,10354,-0.008595712,18,edgar/data/1022671/0001047469-16-010496.txt
3112,consolidated balance sheets,2015,Total assets,318991000,thousands,3112,10-K,1023313,"FORRESTER RESEARCH, INC.",31DEC2015,11MAR2016,118,46,7908,-0.009104704,1,edgar/data/1023313/0001564590-16-014580.txt
3115,consolidated balance sheets,2016,Total assets,2405846000,thousands,3115,10-K,797721,VIASAT INC,31MAR2016,26MAY2016,93,56,13594,-0.002721789,7,edgar/data/797721/0001193125-16-604149.txt
3118,consolidated balance sheets,2015,Total assets,1159909000,thousands,3118,10-K,1020416,"MONSTER WORLDWIDE, INC.",31DEC2015,11FEB2016,264,117,14594,-0.010072633,7,edgar/data/1020416/0001020416-16-000126.txt
3124,consolidated balance sheets,2015,Total assets,683980000,thousands,3124,10-K,1020710,DXP ENTERPRISES INC,31DEC2015,29FEB2016,204,51,10910,-0.014023831,15,edgar/data/1020710/0001140361-16-055589.txt
3128,consolidated balance sheets,2015,Total assets,784912000,thousands,3128,10-K,1000753,"INSPERITY, INC.",31DEC2015,12FEB2016,131,31,9138,-0.010943314,0,edgar/data/1000753/0001000753-16-000075.txt
3130,consolidated balance sheets,2015,Total assets,32847000,thousands,3130,10-K,1029581,Modsys International Ltd,31DEC2015,30MAR2016,92,21,5647,-0.012573048,20,edgar/data/1029581/0001213900-16-012025.txt
