ID,specific_sheet_name,Year,quantity-type,quantity-value,quantity-units
762,consolidated balance sheets,2016,TOTAL ASSETS,13064,thousands
770,consolidated balance sheets,2015,Total assets,16142800,thousands
773,consolidated balance sheets,2015,Total assets,963571,thousands
775,consolidated balance sheets,2015,TOTAL ASSETS,425791000,thousands
780,consolidated balance sheets,2015,Total assets,628740000,thousands
786,consolidated balance sheets,2015,Total assets,444543,thousands
788,consolidated balance sheets,2015,Total Assets,2646,thousands
789,consolidated balance sheets,2016,Total assets,9894,thousands
791,consolidated balance sheets,2016,Total assets,4486,thousands
793,consolidated balance sheets,2016,TOTAL ASSETS,3115000,thousands
810,consolidated balance sheets,2015,TOTAL ASSETS,230671000,thousands
811,consolidated balance sheets,2016,Total assets,245998000,thousands
813,consolidated balance sheets,2015,Total assets,681064000,thousands
815,consolidated balance sheets,2016,Total assets,690457000,thousands
816,consolidated balance sheets,2016,Total Assets,15172,thousands
819,consolidated balance sheets,2015,Total Assets,1239661000,thousands
822,consolidated balance sheets,2015,Total assets,16247,thousands
823,consolidated balance sheets,2015,Total assets,134112,thousands
826,consolidated balance sheets,2016,Total assets,4370,thousands
828,consolidated balance sheets,2015,Total assets,151800000,thousands
830,consolidated balance sheets,2015,Total assets,149021417,thousands
831,consolidated balance sheets,2016,Total assets,16721804000,thousands
834,consolidated balance sheets,2016,Total assets,478478000,thousands
835,consolidated balance sheets,2016,Total Assets,14089682,thousands
838,consolidated balance sheets,2016,Total Assets,5471213,thousands
840,consolidated balance sheets,2015,TOTAL ASSETS,431919000,thousands
844,consolidated balance sheets,2015,Total Assets,432295000,thousands
846,consolidated balance sheets,2016,Total assets,50494,thousands
849,consolidated balance sheets,2015,Total Assets,16332,thousands
852,consolidated balance sheets,2015,Total assets,16230,thousands
855,consolidated balance sheets,2015,Total assets,23330,thousands
856,consolidated balance sheets,2015,Total assets,15628,thousands
857,consolidated balance sheets,2016,Total assets,14708,thousands
859,consolidated balance sheets,2016,Total Assets,2325464000,thousands
861,consolidated balance sheets,2016,Total assets,4990547000,thousands
863,consolidated balance sheets,2015,Total Assets,2785,thousands
866,consolidated balance sheets,2016,Total assets from continuing operations,137650,thousands
868,consolidated balance sheets,2015,Total assets,19853213000,thousands
869,consolidated balance sheets,2016,Total assets,1387518000,thousands
870,consolidated balance sheets,2016,Total Assets,7680000,thousands
871,consolidated balance sheets,2015,Total assets,3908300000,thousands
873,consolidated balance sheets,2015,TOTAL ASSETS,12990000,thousands
875,consolidated balance sheets,2016,Total Assets,76707000,thousands
877,consolidated balance sheets,2015,Total Assets,3784000,thousands
878,consolidated balance sheets,2015,Total assets,8885,thousands
880,consolidated balance sheets,2015,Total Assets,7711841,thousands
881,consolidated balance sheets,2016,Total assets,213922000,thousands
882,consolidated balance sheets,2015,Total assets,1356570000,thousands
884,consolidated balance sheets,2016,Total Assets,22373,thousands
886,consolidated balance sheets,2016,Total assets,10847,thousands
887,consolidated balance sheets,2015,Total assets,4736,thousands
890,consolidated balance sheets,2016,Total assets,1702007000,thousands
897,consolidated balance sheets,2015,Total assets,111383,thousands
899,consolidated balance sheets,2015,TOTAL ASSETS,604028981,thousands
900,consolidated balance sheets,2015,Total Assets,38311,thousands
901,consolidated balance sheets,2015,Total assets,18260201,thousands
903,consolidated balance sheets,2015,Total assets,2262859000,thousands
906,consolidated balance sheets,2015,Total assets,7732,thousands
907,consolidated balance sheets,2015,TOTAL ASSETS,1046400000,thousands
910,consolidated balance sheets,2016,TOTAL ASSETS,18510039,thousands
911,consolidated balance sheets,2015,Total assets,9634113000,thousands
912,consolidated balance sheets,2015,TOTAL ASSETS,4207862,thousands
914,consolidated balance sheets,2016,Total assets,9639542000,thousands
915,consolidated balance sheets,2015,Total assets,622134000,thousands
918,consolidated balance sheets,2016,Total assets,86507000,thousands
919,consolidated balance sheets,2016,Total assets,3816,thousands
920,consolidated balance sheets,2015,Total assets,890789000,thousands
921,consolidated balance sheets,2016,Total assets,11944000,thousands
922,consolidated balance sheets,2016,Total assets,450254000,thousands
923,consolidated balance sheets,2016,Total assets,89435000,thousands
926,consolidated balance sheets,2015,TOTAL ASSETS,326826000,thousands
933,consolidated balance sheets,2015,Total Assets,4352951000,thousands
935,consolidated balance sheets,2016,Total Assets,25982586,thousands
940,consolidated balance sheets,2015,Total Assets,6023000,thousands
942,consolidated balance sheets,2015,Total Assets,1695,thousands
943,consolidated balance sheets,2016,Total assets,32862,thousands
945,consolidated balance sheets,2015,TOTAL ASSETS,16500608,thousands
947,consolidated balance sheets,2015,Total assets,298997000,thousands
949,consolidated balance sheets,2015,Total assets,624673000,thousands
950,consolidated balance sheets,2015,Total assets,19010,thousands
954,consolidated balance sheets,2016,Total assets,390718000,thousands
955,consolidated balance sheets,2016,Total assets,156193000,thousands
957,consolidated balance sheets,2015,Total assets,12495,thousands
958,consolidated balance sheets,2016,Total assets,2444,thousands
959,consolidated balance sheets,2016,Total assets,2642362000,thousands
962,consolidated balance sheets,2016,Total Assets,1439,thousands
963,consolidated balance sheets,2015,Total Assets,24817000,thousands
965,consolidated balance sheets,2015,Total Assets,1894,thousands
967,consolidated balance sheets,2016,Total assets,35792,thousands
968,consolidated balance sheets,2016,TOTAL ASSETS,11499482000,thousands
970,consolidated balance sheets,2016,Total assets,559000,thousands
971,consolidated balance sheets,2016,Total assets,23039000,thousands
972,consolidated balance sheets,2016,Total assets,4513,thousands
973,consolidated balance sheets,2015,Total assets,10284,thousands
975,consolidated balance sheets,2015,Total assets,323514000,thousands
976,consolidated balance sheets,2015,Total assets,2243500000,thousands
979,consolidated balance sheets,2015,Total assets,17035115,thousands
