Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD
2020-05-06 10-PM,ETHUSD,206.53,206.78,205,205.97,1591.08,327145.71
2020-05-06 09-PM,ETHUSD,205.59,206.82,205.48,206.53,1530.54,315838.16
2020-05-06 08-PM,ETHUSD,205,205.93,203.62,205.59,6206.66,1270346.77
2020-05-06 07-PM,ETHUSD,207.08,207.63,204.67,205,3376.17,694647.9
2020-05-06 06-PM,ETHUSD,208.13,208.13,206.57,207.08,1678.08,347547.2
2020-05-06 05-PM,ETHUSD,208.58,208.58,207.64,208.13,1151.9,239502.84
2020-05-06 04-PM,ETHUSD,208.42,209.01,207.59,208.58,2050.82,427321.2
2020-05-06 03-PM,ETHUSD,208.2,209.09,208.2,208.42,1056.61,220412.29
2020-05-06 02-PM,ETHUSD,208,208.38,207.68,208.2,534.56,111196.44
2020-05-06 01-PM,ETHUSD,208.22,208.88,207,208,1885.44,392072.26
2020-05-06 12-PM,ETHUSD,210.54,211.31,208.21,208.22,5457.39,1143681.29
2020-05-06 11-AM,ETHUSD,209.05,211.13,208.72,210.54,7321.64,1539648.16
2020-05-06 10-AM,ETHUSD,208.31,210.32,207.64,209.05,4411.23,922923.82
2020-05-06 09-AM,ETHUSD,207.2,208.57,207.2,208.31,2803.53,583184.47
2020-05-06 08-AM,ETHUSD,207.89,209.52,206.4,207.2,2794.34,581922.52
2020-05-06 07-AM,ETHUSD,207.5,208.72,206.89,207.89,1481.89,308181.98
2020-05-06 06-AM,ETHUSD,206.75,207.94,206.73,207.5,628.13,130314.64
2020-05-06 05-AM,ETHUSD,206.75,207.66,205.91,206.75,859.76,177809.35
2020-05-06 04-AM,ETHUSD,206.94,208.56,206.75,206.75,969.19,201524.67
2020-05-06 03-AM,ETHUSD,204.76,209.23,204.5,206.94,3670.81,760403.28
2020-05-06 02-AM,ETHUSD,204.74,204.87,203.81,204.76,361.02,73772.76
2020-05-06 01-AM,ETHUSD,202.85,204.87,202.65,204.74,834.25,170153.22
2020-05-06 12-AM,ETHUSD,205.62,205.85,202.25,202.85,2904.62,592195.68
2020-05-05 11-PM,ETHUSD,205.13,205.81,204.32,205.62,968.17,198407.98
2020-05-05 10-PM,ETHUSD,204.94,205.49,203.97,205.13,1477.56,302099.84
2020-05-05 09-PM,ETHUSD,205.4,206.17,204.85,204.94,1892.79,388714.83
2020-05-05 08-PM,ETHUSD,204.3,205.64,204.3,205.4,1395.64,286228.6
2020-05-05 07-PM,ETHUSD,203.88,204.58,203.59,204.3,1673.78,341432.21
2020-05-05 06-PM,ETHUSD,203.79,204.09,203.26,203.88,693.69,141254.78
2020-05-05 05-PM,ETHUSD,204.32,204.8,203.48,203.79,1296.12,264908.66
2020-05-05 04-PM,ETHUSD,203.71,205,203.23,204.32,3228.74,660165.87
2020-05-05 03-PM,ETHUSD,204.26,205.36,202.71,203.71,2879.59,586425.41
2020-05-05 02-PM,ETHUSD,205.03,205.03,203.25,204.26,1802.71,367549.62
2020-05-05 01-PM,ETHUSD,203.69,206.67,202.89,205.03,3246.64,666713.6
2020-05-05 12-PM,ETHUSD,203.6,204.58,202.67,203.69,1006.64,205095.59
2020-05-05 11-AM,ETHUSD,203.53,204.9,203.08,203.6,1316.21,268951.62
2020-05-05 10-AM,ETHUSD,206.86,206.86,200.82,203.53,14486.6,2949120.22
2020-05-05 09-AM,ETHUSD,209.57,209.84,206.78,206.86,1472.57,306761.04
2020-05-05 08-AM,ETHUSD,208.84,210.07,208.14,209.57,1036.54,216935.11
2020-05-05 07-AM,ETHUSD,209.32,210.43,208.84,208.84,1066.1,223606.03
2020-05-05 06-AM,ETHUSD,208.98,209.91,207.77,209.32,743.86,155290.96
2020-05-05 05-AM,ETHUSD,210.17,212.19,208.63,208.98,3082.1,647100.41
2020-05-05 04-AM,ETHUSD,206.4,210.82,206.23,210.17,2110.85,441566.59
2020-05-05 03-AM,ETHUSD,205.91,206.8,204.75,206.4,1836.27,377157.47
2020-05-05 02-AM,ETHUSD,208.08,208.17,205.37,205.91,1834.3,378025.59
2020-05-05 01-AM,ETHUSD,208.8,208.8,206.67,208.08,1563.85,324779.97
2020-05-05 12-AM,ETHUSD,206.99,208.8,206.71,208.8,1153.35,239277.67
2020-05-04 11-PM,ETHUSD,207.76,208.59,206,206.99,2005.24,414990.79
2020-05-04 10-PM,ETHUSD,209.5,209.58,207.15,207.76,4227.6,883385.24
2020-05-04 09-PM,ETHUSD,207.4,209.51,206.26,209.5,12859.59,2679415.18
2020-05-04 08-PM,ETHUSD,203.98,207.9,203.98,207.4,2129.04,439240.45
2020-05-04 07-PM,ETHUSD,204.32,205.2,203.19,203.98,2143.11,438020.29
2020-05-04 06-PM,ETHUSD,203.78,205.23,203.78,204.32,2374.91,485991.79
2020-05-04 05-PM,ETHUSD,204.73,205.64,202.62,203.78,2535.36,516700.84
2020-05-04 04-PM,ETHUSD,206.32,207,203.21,204.73,4302.91,882346.73
2020-05-04 03-PM,ETHUSD,204.05,206.62,204.05,206.32,1459.35,299874.95
2020-05-04 02-PM,ETHUSD,206,207.4,204.05,204.05,10335.49,2128043.39
2020-05-04 01-PM,ETHUSD,201.59,206.28,201.55,206,5764.31,1177225.72
2020-05-04 12-PM,ETHUSD,199.87,203.56,199.48,201.59,2160.59,436286.24
2020-05-04 11-AM,ETHUSD,199.01,200.74,198.46,199.87,588.6,117546.29
2020-05-04 10-AM,ETHUSD,199.46,201.05,198.23,199.01,2200.05,439069.83
2020-05-04 09-AM,ETHUSD,202.3,202.3,198.31,199.46,4192.88,834378.72
2020-05-04 08-AM,ETHUSD,199.62,202.4,199.55,202.3,8503.86,1709528.3
2020-05-04 07-AM,ETHUSD,199.46,199.76,197.72,199.62,1050.36,209087.96
2020-05-04 06-AM,ETHUSD,198.4,200.17,197.72,199.46,4819.53,958806.77
2020-05-04 05-AM,ETHUSD,198.98,200,195.15,198.4,10019.53,1973302.21
2020-05-04 04-AM,ETHUSD,203.62,203.62,197.53,198.98,12076.86,2415229.66
2020-05-04 03-AM,ETHUSD,203.87,204.5,202.94,203.62,1467.69,298744.81
2020-05-04 02-AM,ETHUSD,203.81,205.36,203.2,203.87,2240.45,457929.97
2020-05-04 01-AM,ETHUSD,208.01,208.82,202.1,203.81,14374.65,2953016.68
2020-05-04 12-AM,ETHUSD,209.9,210.8,207.58,208.01,3272.11,683099.75
2020-05-03 11-PM,ETHUSD,210.17,210.73,209.46,209.9,518.26,108848.06
2020-05-03 10-PM,ETHUSD,209.35,212.07,209.3,210.17,9330.65,1970458.41
2020-05-03 09-PM,ETHUSD,208.08,210.5,207.3,209.35,1656.38,345915.81
2020-05-03 08-PM,ETHUSD,208.96,209.18,207,208.08,1271.53,264629.73
2020-05-03 07-PM,ETHUSD,207.98,209.15,207.94,208.96,477.35,99589.61
2020-05-03 06-PM,ETHUSD,208.21,209.09,207.83,207.98,557.9,116311.52
2020-05-03 05-PM,ETHUSD,209.1,209.8,207.21,208.21,2746.87,572750.86
2020-05-03 04-PM,ETHUSD,208.33,209.89,207.03,209.1,1695.91,354745.71
2020-05-03 03-PM,ETHUSD,208,209.34,203.8,208.33,7709.25,1596428.14
2020-05-03 02-PM,ETHUSD,212.67,212.67,207.25,208,8233.16,1720895.43
2020-05-03 01-PM,ETHUSD,213.07,213.24,210.98,212.67,5757.42,1216965.07
2020-05-03 12-PM,ETHUSD,214.14,214.22,210.91,213.07,2710.36,575491.92
2020-05-03 11-AM,ETHUSD,214.01,215.19,214,214.14,354.94,76201.09
2020-05-03 10-AM,ETHUSD,215.56,215.98,213.3,214.01,1169.25,250817.22
2020-05-03 09-AM,ETHUSD,214.52,215.69,214.52,215.56,1176.5,253026.36
2020-05-03 08-AM,ETHUSD,213.69,214.8,213.3,214.52,520.85,111539.51
2020-05-03 07-AM,ETHUSD,213.97,214.72,213.4,213.69,1487.58,318361.92
2020-05-03 06-AM,ETHUSD,216.6,216.62,212.39,213.97,7359.3,1573737.83
2020-05-03 05-AM,ETHUSD,217.37,217.47,216.1,216.6,1288.0,279192.75
2020-05-03 04-AM,ETHUSD,218.31,218.51,217.19,217.37,627.81,136597.83
2020-05-03 03-AM,ETHUSD,216.72,218.61,216.7,218.31,1292.27,281525.19
2020-05-03 02-AM,ETHUSD,217.27,218.33,216.72,216.72,1184.91,257764.93
2020-05-03 01-AM,ETHUSD,217.49,219.32,216.24,217.27,3787.34,825691.37
2020-05-03 12-AM,ETHUSD,214.11,218.06,213.71,217.49,6263.62,1359583.74
2020-05-02 11-PM,ETHUSD,214.09,214.49,213.64,214.11,673.22,144103.79
2020-05-02 10-PM,ETHUSD,213.96,214.12,213.37,214.09,334.8,71576.45
2020-05-02 09-PM,ETHUSD,214.15,214.25,213.26,213.96,1946.73,416129.37
2020-05-02 08-PM,ETHUSD,213.74,214.24,213.09,214.15,682.56,145911.42
