Created on 05-15-2020,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume USD
2020-01-01,LTCUSD,41.26,42,40.93,41.57,1149.2,47807.23
2019-12-31,LTCUSD,42.21,42.91,40.91,41.26,2049.95,85697.24
2019-12-30,LTCUSD,43.06,44,41.73,42.21,4406.32,187513.44
2019-12-29,LTCUSD,42.76,43.56,42.16,43.06,1864.29,80308.07
2019-12-28,LTCUSD,40.76,43.65,40.76,42.76,3002.89,127354.66
2019-12-27,LTCUSD,39.95,41.07,39.59,40.76,2797.99,113612.71
2019-12-26,LTCUSD,39.98,41.68,39.54,39.95,3983.16,161819.0
2019-12-25,LTCUSD,40.28,40.47,39.45,39.98,970.57,38865.64
2019-12-24,LTCUSD,40.76,41.1,39.74,40.28,6518.54,262851.27
2019-12-23,LTCUSD,41.96,42.59,40.5,40.76,7967.02,333094.84
2019-12-22,LTCUSD,39.72,42.22,39.72,41.96,2658.98,110699.72
2019-12-21,LTCUSD,40.28,40.28,39.5,39.72,1619.37,64479.26
2019-12-20,LTCUSD,39.7,40.35,39.43,40.28,4001.16,159781.75
2019-12-19,LTCUSD,40.88,41.13,39.17,39.7,9326.12,372832.91
2019-12-18,LTCUSD,36.97,41.71,36,40.88,25276.93,999387.36
2019-12-17,LTCUSD,39.92,39.96,36.31,36.97,19188.99,735061.71
2019-12-16,LTCUSD,43.5,43.5,39,39.92,12087.42,493212.18
2019-12-15,LTCUSD,43.32,43.93,42.92,43.5,2248.39,97580.69
2019-12-14,LTCUSD,44.26,44.49,43.28,43.32,2417.44,105155.61
2019-12-13,LTCUSD,43.63,44.49,43.45,44.26,6384.73,280579.99
2019-12-12,LTCUSD,43.62,43.98,42.76,43.63,5267.42,229023.45
2019-12-11,LTCUSD,44.16,44.41,43.27,43.62,5964.25,261270.11
2019-12-10,LTCUSD,44.46,44.59,43.63,44.16,21463.94,945381.43
2019-12-09,LTCUSD,45.61,45.87,44.11,44.46,9108.24,410899.59
2019-12-08,LTCUSD,45.19,46.25,44.94,45.61,2575.89,117525.38
2019-12-07,LTCUSD,45.44,46.62,45.07,45.19,10289.92,474489.49
2019-12-06,LTCUSD,44.83,45.54,44.14,45.44,8250.33,372221.07
2019-12-05,LTCUSD,44.67,45.18,43.74,44.83,16779.67,744771.29
2019-12-04,LTCUSD,44.75,47.12,43.62,44.67,27018.98,1223055.29
2019-12-03,LTCUSD,45.57,46.27,44.39,44.75,9728.9,442614.59
2019-12-02,LTCUSD,47.64,47.64,44.8,45.57,6773.11,310339.38
2019-12-01,LTCUSD,47.37,48.3,45.7,47.64,3147.25,147876.53
2019-11-30,LTCUSD,48.73,48.82,46.79,47.37,4477.19,213396.66
2019-11-29,LTCUSD,47.08,49.36,46.96,48.73,11181.72,543689.2
2019-11-28,LTCUSD,47.93,48.04,46.28,47.08,5569.15,264762.71
2019-11-27,LTCUSD,47,48.64,44.77,47.93,12316.12,580691.44
2019-11-26,LTCUSD,45.56,47.42,45.54,47,4919.39,228579.41
2019-11-25,LTCUSD,43.92,47.5,42.24,45.56,13643.03,614062.81
2019-11-24,LTCUSD,48.28,48.33,43.64,43.92,2757.89,126561.65
2019-11-23,LTCUSD,47.73,48.64,46.41,48.28,3167.62,149963.23
2019-11-22,LTCUSD,50.68,51.69,43.65,47.73,19150.02,905073.25
2019-11-21,LTCUSD,54.9,55.09,48.22,50.68,20030.83,1028402.2
2019-11-20,LTCUSD,54.99,56.1,54.63,54.9,5726.26,317430.39
2019-11-19,LTCUSD,55.95,56.16,54.29,54.99,8660.31,476061.58
2019-11-18,LTCUSD,59.23,59.25,53.8,55.95,15508.4,859070.05
2019-11-17,LTCUSD,58.3,59.83,57.62,59.23,1606.34,94726.88
2019-11-16,LTCUSD,57.53,58.82,57.19,58.3,2138.92,124055.4
2019-11-15,LTCUSD,58.9,60.63,56.24,57.53,18729.16,1084069.01
2019-11-14,LTCUSD,60.89,60.97,58.2,58.9,8293.98,491190.26
2019-11-13,LTCUSD,61.26,61.97,60.17,60.89,8102.37,492245.98
2019-11-12,LTCUSD,61.76,62.18,59.6,61.26,9950.75,605672.88
2019-11-11,LTCUSD,63.65,64.31,60.41,61.76,7681.16,476228.06
2019-11-10,LTCUSD,62.03,66.16,61.01,63.65,20944.97,1330376.32
2019-11-09,LTCUSD,60.33,62.28,60.33,62.03,2522.59,154553.62
2019-11-08,LTCUSD,61.29,62.39,58.79,60.33,9434.01,571356.77
2019-11-07,LTCUSD,64.16,64.27,60.27,61.29,8569.75,532167.61
2019-11-06,LTCUSD,63.2,64.33,62.62,64.16,6568.01,416659.47
2019-11-05,LTCUSD,61.5,64.17,61.07,63.2,7075.55,446040.82
2019-11-04,LTCUSD,58.43,62.81,57.93,61.5,12539.67,757397.96
2019-11-03,LTCUSD,58.46,58.8,57.4,58.43,3766.61,218907.25
2019-11-02,LTCUSD,58.5,59.32,57.97,58.46,2841.84,166265.86
2019-11-01,LTCUSD,58.48,58.88,56.84,58.5,7084.52,410230.48
2019-10-31,LTCUSD,58.08,59.69,57.19,58.48,5932.34,345667.65
2019-10-30,LTCUSD,59.92,61.01,56.98,58.08,6601.85,386168.87
2019-10-29,LTCUSD,57.85,60.77,57.85,59.92,6324.5,376563.7
2019-10-28,LTCUSD,59.91,62.67,57.61,57.85,13189.24,781787.98
2019-10-27,LTCUSD,57.2,62.8,55.86,59.91,7880.54,470519.97
2019-10-26,LTCUSD,57.01,64.07,54.31,57.2,16512.87,977372.95
2019-10-25,LTCUSD,49.8,58.87,48.06,57.01,17003.39,922403.77
2019-10-24,LTCUSD,49.66,50.25,48.49,49.8,4617.01,229431.68
2019-10-23,LTCUSD,53.43,53.47,47.31,49.66,15472.45,768494.62
2019-10-22,LTCUSD,54.8,55.07,53.09,53.43,2613.19,141681.15
2019-10-21,LTCUSD,54.85,55.78,53.81,54.8,2567.49,140595.55
2019-10-20,LTCUSD,53.74,55.48,52.77,54.85,3409.19,184542.14
2019-10-19,LTCUSD,53.25,54.13,52.75,53.74,1502.43,80527.11
2019-10-18,LTCUSD,54.96,54.96,52.21,53.25,6754.56,357501.42
2019-10-17,LTCUSD,52.51,55.17,51.55,54.96,14707.27,779056.33
2019-10-16,LTCUSD,54.62,55.37,51.13,52.51,7222.73,377734.43
2019-10-15,LTCUSD,56.74,57.43,53.13,54.62,15868.63,887757.3
2019-10-14,LTCUSD,56.57,57.16,56.17,56.74,1636.44,92783.86
2019-10-13,LTCUSD,55.86,57.93,55.67,56.57,2201.92,125215.5
2019-10-12,LTCUSD,55.95,56.59,55.63,55.86,869.5,48751.55
2019-10-11,LTCUSD,57.64,58.48,55.47,55.95,12598.78,713373.71
2019-10-10,LTCUSD,59.5,59.5,57.26,57.64,3682.08,214531.89
2019-10-09,LTCUSD,57.13,60.09,56.29,59.5,8107.48,473908.72
2019-10-08,LTCUSD,57.56,58.44,56.58,57.13,4788.99,274514.69
2019-10-07,LTCUSD,54.5,58.61,53.36,57.56,6190.26,351775.62
2019-10-06,LTCUSD,56.86,56.86,53.28,54.5,3116.68,171209.69
2019-10-05,LTCUSD,56.45,57.43,55.75,56.86,2474.15,139674.56
2019-10-04,LTCUSD,56.39,57.4,55.27,56.45,6571.21,369140.91
2019-10-03,LTCUSD,56.43,56.7,53.63,56.39,10089.79,557004.35
2019-10-02,LTCUSD,55.85,56.74,55.27,56.43,4115.5,230214.62
2019-10-01,LTCUSD,56.1,57.6,54.88,55.85,11394.43,639924.76
2019-09-30,LTCUSD,54.02,56.33,52.61,56.1,6715.14,365577.98
2019-09-29,LTCUSD,55.44,55.59,52.22,54.02,5022.05,272621.62
2019-09-28,LTCUSD,55.89,56.33,54.06,55.44,3717.56,205795.95
2019-09-27,LTCUSD,55.11,56.88,52.7,55.89,5155.73,281163.7
2019-09-26,LTCUSD,57.55,57.55,50.32,55.11,12797.17,695399.76
2019-09-25,LTCUSD,55.28,58.95,53.1,57.55,19968.98,1121204.95
2019-09-24,LTCUSD,66.49,67.28,54,55.28,24346.32,1483779.28
2019-09-23,LTCUSD,72.5,74,61.94,66.49,25770.89,1737183.76
2019-09-22,LTCUSD,73.31,73.31,71.19,72.5,7853.48,565240.63
2019-09-21,LTCUSD,75.37,75.48,72.2,73.31,6523.44,479316.11
2019-09-20,LTCUSD,76.37,76.58,72.92,75.37,8190.57,614659.86
2019-09-19,LTCUSD,77.66,77.67,72.71,76.37,16271.49,1220011.15
2019-09-18,LTCUSD,73.91,80.37,73.91,77.66,7300.32,563401.73
2019-09-17,LTCUSD,72.76,77.5,72.39,73.91,12330.89,919460.44
2019-09-16,LTCUSD,70.24,73.64,69.5,72.76,5942.57,422473.77
2019-09-15,LTCUSD,70.72,71.47,69.84,70.24,2236.44,157108.1
2019-09-14,LTCUSD,68.89,71.5,68.38,70.72,2573.39,180178.57
2019-09-13,LTCUSD,69.34,69.7,67.44,68.89,5874.38,402313.35
2019-09-12,LTCUSD,69.68,69.98,68.39,69.34,2054.99,141838.96
2019-09-11,LTCUSD,70.91,71.6,68.23,69.68,4036.42,282906.02
2019-09-10,LTCUSD,70,73.01,69.67,70.91,8070.42,572505.4
2019-09-09,LTCUSD,70.66,71.45,67.87,70,4365.45,304642.49
2019-09-08,LTCUSD,68.91,71.57,68.43,70.66,4783.74,335257.99
2019-09-07,LTCUSD,65.02,70.5,64.81,68.91,4023.25,275777.37
2019-09-06,LTCUSD,65.47,68.21,64,65.02,5564.73,367383.55
2019-09-05,LTCUSD,67.21,67.32,64.19,65.47,7635.55,498823.94
2019-09-04,LTCUSD,69.41,69.41,66.64,67.21,3727.82,253108.41
2019-09-03,LTCUSD,67.2,70.95,66.75,69.41,7680.3,525791.97
2019-09-02,LTCUSD,66.22,68.17,64.98,67.2,4890.53,324108.8
2019-09-01,LTCUSD,64.29,67.21,64.16,66.22,4993.53,326535.54
2019-08-31,LTCUSD,64.05,65.32,62.48,64.29,4825.01,306816.75
2019-08-30,LTCUSD,63.54,65.58,62.15,64.05,8687.12,553149.79
