Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume EUR
2018-08-19,LTCEUR,46.31,51.12,46.31,51.11,2.717,136.75
2018-08-18,LTCEUR,52.92,54.54,46.31,46.31,3.368,174.65
2018-08-17,LTCEUR,50,52.93,50,52.92,2.898,153.36
2018-08-16,LTCEUR,51.61,54.4,49.61,50,5.603,286.28
2018-08-15,LTCEUR,47.06,54.56,47.06,51.61,28.82,1529.43
2018-08-14,LTCEUR,59,59,42.1,47.06,4.398,213.88
2018-08-13,LTCEUR,52.84,59,50.6,59,2.457,126.15
2018-08-12,LTCEUR,52.07,52.84,52.07,52.84,0.01597,0.8437
2018-08-11,LTCEUR,59.12,59.12,50.87,52.07,14.61,774.91
2018-08-10,LTCEUR,55.8,59.2,53.57,59.12,2.939,160.84
2018-08-09,LTCEUR,54,65.9,53.57,55.8,6.769,382.36
2018-08-08,LTCEUR,60,68.99,54,54,5.397,341.03
2018-08-07,LTCEUR,64.58,65.28,60,60,27.9,1692.89
2018-08-06,LTCEUR,64.04,65.83,63.02,64.58,1.014,65.61
2018-08-05,LTCEUR,63.12,64.04,63.12,64.04,0.1533,9.816
2018-08-04,LTCEUR,66.35,66.74,60.01,63.12,27.09,1641.18
2018-08-03,LTCEUR,66.5,66.5,65.18,66.35,1.17,76.83
2018-08-02,LTCEUR,67.62,67.62,65.72,66.5,2.118,140.71
2018-08-01,LTCEUR,67.11,67.62,65.72,67.62,10.49,700.42
2018-07-31,LTCEUR,80.97,80.97,66.01,67.11,3.217,216.99
2018-07-30,LTCEUR,72.78,80.97,70.06,80.97,7.379,551.05
2018-07-29,LTCEUR,71.17,72.78,71.17,72.78,0.1851,13.41
2018-07-28,LTCEUR,72.06,72.25,70.87,71.17,0.9635,68.62
2018-07-27,LTCEUR,73.16,73.16,71.45,72.06,0.4044,29.19
2018-07-26,LTCEUR,73.86,73.86,73.16,73.16,0.88,64.38
2018-07-25,LTCEUR,76,76.19,73.86,73.86,0.6792,50.18
2018-07-24,LTCEUR,68.6,76,68.6,76,3.067,230.46
2018-07-23,LTCEUR,69.26,71.97,68.6,68.6,0.4657,33.5
2018-07-22,LTCEUR,72.79,72.79,69.26,69.26,0.002813,0.1948
2018-07-21,LTCEUR,70.03,73,70.03,72.79,7.395,539.12
2018-07-20,LTCEUR,79.19,79.19,70,70.03,9.422,676.28
2018-07-19,LTCEUR,79.19,79.19,79.19,79.19,0.0,0.0
2018-07-18,LTCEUR,76,81.2,76,79.19,11.11,874.34
2018-07-17,LTCEUR,71,76,71,76,20.1,1442.37
2018-07-16,LTCEUR,65.36,78.5,65.36,71,3.55,260.62
2018-07-15,LTCEUR,63.01,65.36,63.01,65.36,1.662,108.42
2018-07-14,LTCEUR,66.18,66.18,63.01,63.01,2.294,149.87
2018-07-13,LTCEUR,64.5,67.13,64.5,66.18,2.404,159.99
2018-07-12,LTCEUR,64.82,69.99,64.5,64.5,3.536,233.28
2018-07-11,LTCEUR,64.82,64.82,64.82,64.82,0.0,0.0
2018-07-10,LTCEUR,70.48,70.48,64.82,64.82,4.017,269.08
2018-07-09,LTCEUR,70.85,78.22,70.48,70.48,1.866,136.47
2018-07-08,LTCEUR,70.01,70.85,70.01,70.85,0.3245,22.99
2018-07-07,LTCEUR,72.24,72.24,70.01,70.01,0.6142,43.0
