Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BCH,Volume USD
2018-09-30,BCHUSD,645,645,645,645,0.0,0.0
2018-09-29,BCHUSD,645,645,645,645,0.0,0.0
2018-09-28,BCHUSD,645,645,645,645,0.0,0.0
2018-09-27,BCHUSD,645,645,645,645,0.0,0.0
2018-09-26,BCHUSD,645,645,645,645,0.0,0.0
2018-09-25,BCHUSD,645,645,645,645,0.0,0.0
2018-09-24,BCHUSD,645,645,645,645,0.0,0.0
2018-09-23,BCHUSD,645,645,645,645,0.0,0.0
2018-09-22,BCHUSD,645,645,645,645,0.0,0.0
2018-09-21,BCHUSD,645,645,645,645,0.0,0.0
2018-09-20,BCHUSD,645,645,645,645,0.0,0.0
2018-09-19,BCHUSD,645,645,645,645,0.0,0.0
2018-09-18,BCHUSD,645,645,645,645,0.0,0.0
2018-09-17,BCHUSD,645,645,645,645,0.0,0.0
2018-09-16,BCHUSD,645,645,645,645,0.0,0.0
2018-09-15,BCHUSD,645,645,645,645,0.0,0.0
2018-09-14,BCHUSD,645,645,645,645,0.0,0.0
2018-09-13,BCHUSD,645,645,645,645,0.0,0.0
2018-09-12,BCHUSD,645,645,645,645,0.0,0.0
2018-09-11,BCHUSD,645,645,645,645,0.0,0.0
2018-09-10,BCHUSD,645,645,645,645,0.0,0.0
2018-09-09,BCHUSD,645,645,645,645,0.0,0.0
2018-09-08,BCHUSD,645,645,645,645,0.0,0.0
2018-09-07,BCHUSD,645,645,645,645,0.0,0.0
2018-09-06,BCHUSD,645,645,645,645,0.0,0.0
2018-09-05,BCHUSD,645,645,645,645,0.0,0.0
2018-09-04,BCHUSD,645,645,645,645,0.0,0.0
2018-09-03,BCHUSD,645,645,645,645,0.0,0.0
2018-09-02,BCHUSD,645,645,645,645,0.0,0.0
2018-09-01,BCHUSD,645,645,645,645,0.0,0.0
2018-08-31,BCHUSD,645,645,645,645,0.0,0.0
2018-08-30,BCHUSD,645,645,645,645,0.0,0.0
2018-08-29,BCHUSD,645,645,645,645,0.0,0.0
2018-08-28,BCHUSD,645,645,645,645,0.0,0.0
2018-08-27,BCHUSD,645,645,645,645,0.0,0.0
2018-08-26,BCHUSD,645,645,645,645,0.0,0.0
2018-08-25,BCHUSD,645,645,645,645,0.0,0.0
2018-08-24,BCHUSD,645,645,645,645,0.0,0.0
2018-08-23,BCHUSD,645,645,645,645,0.0,0.0
2018-08-22,BCHUSD,645,645,645,645,0.0,0.0
2018-08-21,BCHUSD,645,645,645,645,0.0,0.0
2018-08-20,BCHUSD,645,645,645,645,0.0,0.0
2018-08-19,BCHUSD,645,645,645,645,0.0,0.0
2018-08-18,BCHUSD,645,645,645,645,0.0,0.0
2018-08-17,BCHUSD,645,645,645,645,0.0,0.0
2018-08-16,BCHUSD,645,645,645,645,0.0,0.0
2018-08-15,BCHUSD,645,645,645,645,0.0,0.0
2018-08-14,BCHUSD,645,645,645,645,0.0,0.0
2018-08-13,BCHUSD,645,645,645,645,0.0,0.0
2018-08-12,BCHUSD,645,645,645,645,0.0,0.0
2018-08-11,BCHUSD,645,645,645,645,0.0,0.0
2018-08-10,BCHUSD,645,645,645,645,0.0,0.0
2018-08-09,BCHUSD,645,645,645,645,0.0,0.0
2018-08-08,BCHUSD,645.05,645.05,645,645,0.06588,42.49
2018-08-07,BCHUSD,896,896,645.05,645.05,0.01606,10.36
2018-08-06,BCHUSD,896,896,896,896,0.0,0.0
2018-08-05,BCHUSD,896,896,896,896,0.0,0.0
2018-08-04,BCHUSD,628,896,628,896,0.04799,43.0
2018-08-03,BCHUSD,628,628,628,628,0.0,0.0
2018-08-02,BCHUSD,774.54,774.54,628,628,0.05876,36.9
2018-08-01,BCHUSD,800,922.09,764.87,774.54,0.3993,325.42
2018-07-31,BCHUSD,800,800,800,800,1.264,1011.41
2018-07-30,BCHUSD,800.03,800.03,800,800,0.002616,2.093
2018-07-29,BCHUSD,922.09,922.09,800.03,800.03,0.02459,19.68
2018-07-28,BCHUSD,596,922.09,596,922.09,0.1863,167.38
2018-07-27,BCHUSD,798.95,798.95,596,596,0.2578,203.11
2018-07-26,BCHUSD,839,850,798.93,798.95,0.02495,20.9
2018-07-25,BCHUSD,544.01,850,544.01,839,0.03757,31.81
2018-07-24,BCHUSD,780,800.21,544,544.01,0.7347,485.17
2018-07-23,BCHUSD,810,810,780,780,0.2307,180.35
2018-07-22,BCHUSD,776,810,776,810,0.00931,7.523
2018-07-21,BCHUSD,776,776,735.63,776,0.06956,53.09
2018-07-20,BCHUSD,776,776,776,776,0.0,0.0
2018-07-19,BCHUSD,808,896.8,776,776,0.01205,10.51
2018-07-18,BCHUSD,922.09,922.09,808,808,0.5157,427.35
2018-07-17,BCHUSD,725.01,922.09,725.01,922.09,0.4423,363.28
2018-07-16,BCHUSD,692.54,725.01,588,725.01,0.511,349.67
2018-07-15,BCHUSD,634,692.54,634,692.54,0.0005042,0.3492
2018-07-14,BCHUSD,634,634,634,634,0.0,0.0
2018-07-13,BCHUSD,634,634,634,634,0.0,0.0
2018-07-12,BCHUSD,634,634,634,634,0.0,0.0
