Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume EOS,Volume USD
2020-01-24,EOSUSD,2.25,2.32,2.25,2.32,41.13,94.57
2020-01-23,EOSUSD,2.29,2.34,2.25,2.25,56.41,130.16
2020-01-22,EOSUSD,2.35,2.35,2.25,2.29,366.13,850.22
2020-01-21,EOSUSD,2.41,2.45,2.25,2.35,346.58,810.21
2020-01-20,EOSUSD,2.42,2.42,2.25,2.41,619.56,1480.14
2020-01-19,EOSUSD,2.44,2.8,2.32,2.42,629.38,1576.17
2020-01-18,EOSUSD,2.722,2.722,2.44,2.44,157.44,400.21
2020-01-17,EOSUSD,2.315,2.8,2.21,2.722,581.1,1473.38
2020-01-16,EOSUSD,2.35,2.444,2.218,2.315,428.91,1010.23
2020-01-15,EOSUSD,2.032,2.5,2.032,2.35,685.55,1580.59
2020-01-14,EOSUSD,2.003,2.188,1.909,2.032,1127.89,2300.97
2020-01-13,EOSUSD,1.909,2.003,1.909,2.003,203.36,406.21
2020-01-12,EOSUSD,1.918,2.003,1.909,1.909,61.31,120.43
2020-01-11,EOSUSD,2.04,2.05,1.918,1.918,219.2,438.12
2020-01-10,EOSUSD,1.861,2.04,1.842,2.04,257.1,498.88
2020-01-09,EOSUSD,1.92,2.049,1.861,1.861,278.26,546.19
2020-01-08,EOSUSD,1.842,2.1,1.842,1.92,323.68,652.92
2020-01-07,EOSUSD,1.788,1.906,1.788,1.842,34.0,63.48
2020-01-06,EOSUSD,1.841,1.867,1.77,1.788,16.78,30.32
2020-01-05,EOSUSD,1.812,1.841,1.8,1.841,10.44,18.98
2020-01-04,EOSUSD,1.745,1.812,1.745,1.812,5.465,9.9
2020-01-03,EOSUSD,1.752,1.78,1.745,1.745,23.91,42.21
2020-01-02,EOSUSD,1.77,1.848,1.752,1.752,91.81,165.69
2020-01-01,EOSUSD,1.77,1.829,1.77,1.77,77.03,139.68
2019-12-31,EOSUSD,1.806,1.862,1.77,1.77,84.0,149.52
2019-12-30,EOSUSD,1.88,1.944,1.806,1.806,70.03,128.54
2019-12-29,EOSUSD,1.963,2.008,1.806,1.88,386.98,726.77
2019-12-28,EOSUSD,1.85,1.963,1.85,1.963,128.59,247.14
2019-12-27,EOSUSD,1.851,1.924,1.85,1.85,20.52,38.36
2019-12-26,EOSUSD,1.96,2.001,1.851,1.851,246.01,477.19
2019-12-25,EOSUSD,1.886,2.11,1.886,1.96,371.71,727.59
2019-12-24,EOSUSD,1.9,2.11,1.87,1.886,478.6,971.54
2019-12-23,EOSUSD,1.96,2.098,1.879,1.9,223.5,439.45
2019-12-22,EOSUSD,1.906,1.99,1.745,1.96,368.03,684.25
2019-12-21,EOSUSD,1.8,1.91,1.736,1.906,1987.75,3626.26
2019-12-20,EOSUSD,1.848,1.848,1.8,1.8,0.3,0.54
2019-12-19,EOSUSD,1.791,1.893,1.725,1.848,39.2,70.71
2019-12-18,EOSUSD,1.702,1.8,1.645,1.791,32.8,58.09
2019-12-17,EOSUSD,1.75,1.8,1.702,1.702,144.22,251.34
2019-12-16,EOSUSD,1.864,1.958,1.75,1.75,400.31,742.69
2019-12-15,EOSUSD,1.851,1.864,1.814,1.864,208.15,383.9
2019-12-14,EOSUSD,1.908,1.908,1.851,1.851,30.92,57.45
