Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DAS,Volume HUSD
2019-12-14,DASHUSD,50.81,52.66,50.81,50.99,6.536,337.15
2019-12-13,DASHUSD,51.16,51.8,50.58,50.81,7.266,370.16
2019-12-12,DASHUSD,50.38,52.38,50,51.16,9.743,490.1
2019-12-11,DASHUSD,50.52,51.96,50.06,50.38,2.209,113.25
2019-12-10,DASHUSD,52.65,53.01,50.52,50.52,24.37,1277.09
2019-12-09,DASHUSD,53.02,53.95,52.07,52.65,16.09,853.58
2019-12-08,DASHUSD,53.91,69.3,53.01,53.02,14.12,813.97
2019-12-07,DASHUSD,53.54,55.99,53.02,53.91,10.37,563.81
2019-12-06,DASHUSD,50.9,54.04,50.9,53.54,4.368,231.66
2019-12-05,DASHUSD,51.65,54.21,50.79,50.9,6.53,341.46
2019-12-04,DASHUSD,54.54,54.54,51.6,51.65,42.98,2300.01
2019-12-03,DASHUSD,53.12,54.55,52.26,54.54,21.82,1165.49
2019-12-02,DASHUSD,55.9,55.97,53.12,53.12,12.2,665.92
2019-12-01,DASHUSD,57.4,58.1,55.16,55.9,1.284,72.37
2019-11-30,DASHUSD,59.31,60.47,56.5,57.4,8.911,527.31
2019-11-29,DASHUSD,56.98,59.41,54.71,59.31,41.91,2379.69
2019-11-28,DASHUSD,53.13,57,50.39,56.98,6.614,361.62
2019-11-27,DASHUSD,52.48,55.92,51.32,53.13,7.287,391.45
2019-11-26,DASHUSD,57,57,52.48,52.48,2.718,145.33
2019-11-25,DASHUSD,54.58,57,52.15,57,4.71,259.03
2019-11-24,DASHUSD,58.56,60.05,54.58,54.58,11.91,683.08
2019-11-23,DASHUSD,59.52,62.3,58.56,58.56,9.598,583.65
2019-11-22,DASHUSD,63.5,65.61,59.52,59.52,12.54,768.26
2019-11-21,DASHUSD,72,72,60.88,63.5,181.65,11255.36
2019-11-20,DASHUSD,67.7,72,66,72,16.05,1124.55
2019-11-19,DASHUSD,67.93,70.91,64.63,67.7,3.25,217.28
2019-11-18,DASHUSD,70.25,71.01,63,67.93,11.56,773.72
2019-11-17,DASHUSD,71.59,72.44,70.18,70.25,7.142,513.72
2019-11-16,DASHUSD,69.87,73,69.87,71.59,29.66,2138.42
2019-11-15,DASHUSD,71.19,72.97,69.87,69.87,1.596,112.59
2019-11-14,DASHUSD,72.72,73.84,71.12,71.19,16.62,1198.17
2019-11-13,DASHUSD,73,75.49,72.72,72.72,8.597,631.9
2019-11-12,DASHUSD,75.1,75.28,72.76,73,32.77,2450.65
2019-11-11,DASHUSD,75,76.02,73,75.1,359.58,27049.31
2019-11-10,DASHUSD,72,75.01,72,75,7.01,516.42
2019-11-09,DASHUSD,71.96,75.39,71.19,72,9.788,716.22
2019-11-08,DASHUSD,73.1,74.98,71.96,71.96,22.47,1620.75
2019-11-07,DASHUSD,76,76,73.1,73.1,11.27,834.27
2019-11-06,DASHUSD,76,76.95,73.86,76,3.5,262.44
2019-11-05,DASHUSD,74.09,76,74.07,76,2.555,191.04
2019-11-04,DASHUSD,73.86,75.4,72.58,74.09,3.545,261.84
2019-11-03,DASHUSD,75.28,75.28,71.5,73.86,17.54,1257.06
2019-11-02,DASHUSD,74,75.39,73.41,75.28,6.978,525.21
2019-11-01,DASHUSD,73.21,74.44,72.97,74,3.735,274.43
2019-10-31,DASHUSD,71.98,73.21,70.97,73.21,6.599,472.41
2019-10-30,DASHUSD,72.48,74.43,71.98,71.98,5.109,371.79
2019-10-29,DASHUSD,72.59,75.9,71.98,72.48,4.103,299.82
2019-10-28,DASHUSD,71.93,76.09,71.52,72.59,4.738,348.36
2019-10-27,DASHUSD,69.96,73.7,69.42,71.93,10.59,760.49
2019-10-26,DASHUSD,69.13,73,67.61,69.96,17.96,1278.19
2019-10-25,DASHUSD,65.4,71,64.74,69.13,5.167,354.94
2019-10-24,DASHUSD,65.99,66,65.4,65.4,0.5378,35.36
2019-10-23,DASHUSD,70.35,70.35,65.99,65.99,5.143,346.34
2019-10-22,DASHUSD,71.48,71.48,70.35,70.35,15.67,1118.73
2019-10-21,DASHUSD,72.5,72.5,71,71.48,16.65,1189.8
2019-10-20,DASHUSD,70.07,72.5,70.07,72.5,17.16,1242.55
2019-10-19,DASHUSD,71.41,71.91,70.07,70.07,19.44,1386.38
2019-10-18,DASHUSD,72,72.91,70.72,71.41,21.27,1545.54
2019-10-17,DASHUSD,70.21,72.51,70.11,72,2.657,188.09
2019-10-16,DASHUSD,74.63,74.68,70.21,70.21,22.87,1683.75
2019-10-15,DASHUSD,73.68,76.18,73.68,74.63,2.135,160.3
2019-10-14,DASHUSD,75.42,75.42,73.65,73.68,42.43,3169.04
2019-10-13,DASHUSD,76.41,76.41,73.61,75.42,12.07,889.8
2019-10-12,DASHUSD,74.41,76.48,73.66,76.41,17.94,1368.27
2019-10-11,DASHUSD,74.74,76.18,73.94,74.41,9.53,720.59
