Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume REP,Volume BTC
2019-03-06,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-03-05,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-03-04,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-03-03,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-03-02,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-03-01,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-02-28,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-02-27,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-02-26,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-02-25,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-02-24,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-02-23,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-02-22,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-02-21,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-02-20,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-02-19,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-02-18,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-02-17,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-02-16,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-02-15,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-02-14,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-02-13,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-02-12,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-02-11,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-02-10,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-02-09,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-02-08,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-02-07,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-02-06,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-02-05,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-02-04,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-02-03,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-02-02,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-02-01,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-01-31,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-01-30,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-01-29,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-01-28,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-01-27,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-01-26,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-01-25,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-01-24,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-01-23,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-01-22,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-01-21,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
