Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD
2019-09-28,ETHUSD,174.99,174.99,169.78,172.99,30.29,5220.24
2019-09-27,ETHUSD,157,174.99,157,174.99,6.547,1139.28
2019-09-26,ETHUSD,168.62,170.92,157,157,6.39,1036.57
2019-09-25,ETHUSD,155,177.99,155,168.62,1.988,337.23
2019-09-24,ETHUSD,200.11,200.11,155,155,41.29,7189.82
2019-09-23,ETHUSD,210.54,210.54,199.49,200.11,68.53,13922.83
2019-09-22,ETHUSD,214.3,214.3,209.78,210.54,1.635,345.46
2019-09-21,ETHUSD,217.48,220.81,213.21,214.3,15.6,3375.84
2019-09-20,ETHUSD,220.38,220.38,215,217.48,30.01,6519.94
2019-09-19,ETHUSD,211.94,222.73,205.35,220.38,33.63,7397.28
2019-09-18,ETHUSD,213.11,217.45,211.19,211.94,34.92,7479.73
2019-09-17,ETHUSD,199,213.11,197.69,213.11,64.05,13038.7
2019-09-16,ETHUSD,188.09,199,188.09,199,25.14,4873.75
2019-09-15,ETHUSD,188.29,190,188.09,188.09,3.5,661.18
2019-09-14,ETHUSD,180.07,188.29,180.07,188.29,36.34,6644.26
2019-09-13,ETHUSD,180.56,181.18,179.57,180.07,35.74,6425.88
2019-09-12,ETHUSD,177.27,182.57,175.46,180.56,14.96,2676.63
2019-09-11,ETHUSD,180.5,180.74,176,177.27,7.761,1389.14
2019-09-10,ETHUSD,179.7,183.55,179.7,180.5,45.58,8268.17
2019-09-09,ETHUSD,181.92,183.96,177,179.7,70.92,12905.21
2019-09-08,ETHUSD,179.62,200,179.04,181.92,93.92,17217.67
2019-09-07,ETHUSD,180.49,180.49,176.35,179.62,34.69,6222.65
2019-09-06,ETHUSD,172.54,180.49,168,180.49,65.99,11460.58
2019-09-05,ETHUSD,174.11,174.11,171.84,172.54,3.707,639.16
2019-09-04,ETHUSD,181.1,181.1,174.11,174.11,27.76,4905.74
2019-09-03,ETHUSD,179,181.3,101.01,181.1,45.7,7377.0
2019-09-02,ETHUSD,171.84,179,171.02,179,19.69,3395.82
2019-09-01,ETHUSD,171.38,172.68,167.95,171.84,80.22,13647.42
2019-08-31,ETHUSD,169.38,171.38,166.27,171.38,21.5,3597.7
2019-08-30,ETHUSD,168.87,170.42,165.82,169.38,41.51,7027.89
2019-08-29,ETHUSD,171.78,182.47,160,168.87,6.314,1063.71
2019-08-28,ETHUSD,186.07,190,170,171.78,45.44,8163.08
2019-08-27,ETHUSD,180,186.07,180,186.07,0.04343,8.081
2019-08-26,ETHUSD,186.32,195,180,180,13.33,2513.22
2019-08-25,ETHUSD,188.23,192.18,186.32,186.32,113.36,21463.61
2019-08-24,ETHUSD,195.15,195.15,187.95,188.23,3.534,667.91
2019-08-23,ETHUSD,191.1,199.79,181,195.15,29.5,5651.73
2019-08-22,ETHUSD,184.52,193.36,184.51,191.1,13.39,2530.8
2019-08-21,ETHUSD,197.5,197.5,181.68,184.52,40.37,7441.46
2019-08-20,ETHUSD,198.68,202,196.18,197.5,4.298,859.99
2019-08-19,ETHUSD,197.1,201.43,193.27,198.68,45.44,8977.78
2019-08-18,ETHUSD,185.57,197.26,184.76,197.1,22.62,4313.85
2019-08-17,ETHUSD,185.52,186.69,182.46,185.57,47.78,8799.66
2019-08-16,ETHUSD,188.38,188.38,180.54,185.52,106.49,19578.62
2019-08-15,ETHUSD,185.34,260,89,188.38,163.12,30025.04
2019-08-14,ETHUSD,206.17,221.38,185.34,185.34,12.71,2542.2
2019-08-13,ETHUSD,212.41,212.41,203.28,206.17,2.694,557.7
2019-08-12,ETHUSD,214.68,214.68,205,212.41,4.724,996.03
2019-08-11,ETHUSD,206.13,214.99,206.13,214.68,8.708,1854.65
2019-08-10,ETHUSD,209.66,213.26,201.78,206.13,76.34,15573.98
2019-08-09,ETHUSD,216.99,216.99,208,209.66,40.99,8660.93
2019-08-08,ETHUSD,223.59,232.95,215.24,216.99,9.505,2080.46
2019-08-07,ETHUSD,224,228.28,221.01,223.59,1.718,382.66
2019-08-06,ETHUSD,234.28,236,224,224,55.7,12891.82
2019-08-05,ETHUSD,221.81,234.28,217.01,234.28,48.83,11131.09
2019-08-04,ETHUSD,221.4,222.49,217.4,221.81,18.75,4107.96
2019-08-03,ETHUSD,217.68,222.89,217.68,221.4,4.336,965.62
2019-08-02,ETHUSD,217.41,227.92,216,217.68,62.81,13734.12
2019-08-01,ETHUSD,218,218,211.06,217.41,112.56,24042.02
2019-07-31,ETHUSD,211.39,218,211.39,218,19.91,4296.72
2019-07-30,ETHUSD,211.96,212.81,205.79,211.39,59.05,12295.61
2019-07-29,ETHUSD,209.35,211.96,208.11,211.96,1.106,232.29
2019-07-28,ETHUSD,206.24,210.29,200.64,209.35,66.82,13456.68
2019-07-27,ETHUSD,218.08,222.21,203.2,206.24,217.37,45147.2
2019-07-26,ETHUSD,221,221,216.22,218.08,6.368,1382.19
2019-07-25,ETHUSD,216.34,222.41,216.34,221,21.17,4657.6
2019-07-24,ETHUSD,217.75,217.75,205.56,216.34,11.86,2484.0
2019-07-23,ETHUSD,215.33,218.22,210.56,217.75,18.73,4045.59
2019-07-22,ETHUSD,210,218.75,210,215.33,0.7014,151.85
2019-07-21,ETHUSD,232.75,237.57,201,210,27.88,6190.8
2019-07-20,ETHUSD,218.28,233.83,201,232.75,8.118,1838.19
2019-07-19,ETHUSD,226.89,226.89,216.48,218.28,22.06,4860.11
2019-07-18,ETHUSD,210,226.89,207.6,226.89,30.64,6542.71
2019-07-17,ETHUSD,196.43,227.79,190,210,7.853,1656.46
2019-07-16,ETHUSD,233.13,233.13,196.43,196.43,33.38,6635.62
2019-07-15,ETHUSD,230,244.46,210,233.13,48.56,10728.03
