Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XEM,Volume USD
2019-12-15,XEMUSD,0.03049,0.03052,0.03034,0.03034,992.61,30.17
2019-12-14,XEMUSD,0.03029,0.03049,0.03029,0.03049,20.0,0.6099
2019-12-13,XEMUSD,0.03033,0.03201,0.03025,0.03029,2273.32,70.82
2019-12-12,XEMUSD,0.03264,0.03264,0.03023,0.03033,3499.26,109.34
2019-12-11,XEMUSD,0.03087,0.03264,0.03087,0.03264,2111.43,68.33
2019-12-10,XEMUSD,0.03398,0.03398,0.03038,0.03087,1223.74,39.03
2019-12-09,XEMUSD,0.03247,0.03495,0.03239,0.03398,6510.24,217.76
2019-12-08,XEMUSD,0.03405,0.0347,0.03247,0.03247,252.91,8.238
2019-12-07,XEMUSD,0.03202,0.03473,0.03202,0.03405,1183.35,39.13
2019-12-06,XEMUSD,0.03256,0.03367,0.03202,0.03202,3833.05,123.52
2019-12-05,XEMUSD,0.03177,0.03402,0.03177,0.03256,1364.07,44.08
2019-12-04,XEMUSD,0.03397,0.03529,0.03177,0.03177,884.45,30.51
2019-12-03,XEMUSD,0.03499,0.03499,0.03397,0.03397,104.0,3.551
2019-12-02,XEMUSD,0.03637,0.03637,0.03499,0.03499,2314.64,81.15
2019-12-01,XEMUSD,0.03801,0.03825,0.03637,0.03637,1222.63,45.06
2019-11-30,XEMUSD,0.038,0.03801,0.037,0.03801,86.3,3.264
2019-11-29,XEMUSD,0.03748,0.038,0.03499,0.038,3483.61,123.44
2019-11-28,XEMUSD,0.035,0.03748,0.035,0.03748,442.74,16.0
2019-11-27,XEMUSD,0.035,0.035,0.03312,0.035,800.63,27.53
2019-11-26,XEMUSD,0.03437,0.035,0.0315,0.035,454.62,14.75
2019-11-25,XEMUSD,0.03257,0.03445,0.03,0.03437,3359.3,103.91
2019-11-24,XEMUSD,0.03283,0.03283,0.03049,0.03257,590.14,18.43
2019-11-23,XEMUSD,0.03471,0.03471,0.0303,0.03283,1328.89,41.56
2019-11-22,XEMUSD,0.03048,0.03471,0.03048,0.03471,1565.24,52.05
2019-11-21,XEMUSD,0.035,0.035,0.03048,0.03048,593.37,19.48
2019-11-20,XEMUSD,0.03208,0.03695,0.03,0.035,1703.99,57.16
2019-11-19,XEMUSD,0.03741,0.03741,0.03208,0.03208,50.0,1.604
2019-11-18,XEMUSD,0.03461,0.03741,0.0325,0.03741,576.27,18.84
2019-11-17,XEMUSD,0.03752,0.03752,0.0322,0.03461,1565.77,56.0
2019-11-16,XEMUSD,0.03752,0.03752,0.03752,0.03752,0.0,0.0
2019-11-15,XEMUSD,0.03764,0.03764,0.03752,0.03752,26.61,0.9984
2019-11-14,XEMUSD,0.03776,0.03776,0.03251,0.03764,332.57,10.97
2019-11-13,XEMUSD,0.03788,0.03788,0.03776,0.03776,127.89,4.837
2019-11-12,XEMUSD,0.03797,0.03797,0.032,0.03788,536.38,17.31
2019-11-11,XEMUSD,0.0381,0.0381,0.032,0.03797,1198.35,40.8
2019-11-10,XEMUSD,0.036,0.0381,0.036,0.0381,134.53,5.112
2019-11-09,XEMUSD,0.04179,0.04179,0.03345,0.036,5404.97,189.23
2019-11-08,XEMUSD,0.03787,0.04179,0.03787,0.04179,25.0,1.045
2019-11-07,XEMUSD,0.04104,0.04104,0.03787,0.03787,10.0,0.3787
2019-11-06,XEMUSD,0.03528,0.04104,0.03528,0.04104,66.96,2.749
2019-11-05,XEMUSD,0.0395,0.04104,0.03512,0.03528,326.88,12.46
2019-11-04,XEMUSD,0.037,0.04239,0.035,0.0395,6041.31,219.63
2019-11-03,XEMUSD,0.037,0.0424,0.037,0.037,3007.75,112.9
2019-11-02,XEMUSD,0.03783,0.03783,0.037,0.037,100.0,3.7
2019-11-01,XEMUSD,0.03783,0.03783,0.03783,0.03783,0.0,0.0
2019-10-31,XEMUSD,0.0412,0.0412,0.03783,0.03783,354.25,13.42
2019-10-30,XEMUSD,0.0376,0.0416,0.0376,0.0412,85.9,3.295
2019-10-29,XEMUSD,0.03741,0.0424,0.03741,0.0376,13.16,0.5098
2019-10-28,XEMUSD,0.04041,0.04041,0.03741,0.03741,9.98,0.3733
2019-10-27,XEMUSD,0.03988,0.04041,0.03523,0.04041,140.39,5.051
2019-10-26,XEMUSD,0.04333,0.04381,0.0369,0.03988,1456.69,59.41
2019-10-25,XEMUSD,0.03872,0.04333,0.03872,0.04333,122.53,4.977
2019-10-24,XEMUSD,0.04091,0.04091,0.03872,0.03872,247.43,9.58
2019-10-23,XEMUSD,0.04074,0.04161,0.03984,0.04091,798.11,31.81
2019-10-22,XEMUSD,0.04074,0.04074,0.04074,0.04074,0.0,0.0
2019-10-21,XEMUSD,0.04082,0.04082,0.04074,0.04074,17.0,0.6925
2019-10-20,XEMUSD,0.04232,0.04232,0.04068,0.04082,418.52,17.08
2019-10-19,XEMUSD,0.04232,0.04232,0.04232,0.04232,0.0,0.0
2019-10-18,XEMUSD,0.04453,0.04581,0.04232,0.04232,1976.06,87.09
2019-10-17,XEMUSD,0.0409,0.04453,0.0392,0.04453,3039.95,133.9
2019-10-16,XEMUSD,0.03922,0.0409,0.03898,0.0409,9.98,0.3903
2019-10-15,XEMUSD,0.03922,0.03922,0.03922,0.03922,0.0,0.0
2019-10-14,XEMUSD,0.03922,0.03922,0.03922,0.03922,0.0,0.0
2019-10-13,XEMUSD,0.03891,0.04206,0.03891,0.03922,3546.01,142.03
2019-10-12,XEMUSD,0.04132,0.04132,0.03891,0.03891,42.2,1.652
2019-10-11,XEMUSD,0.0402,0.042,0.0352,0.04132,6008.87,232.13
2019-10-10,XEMUSD,0.04256,0.04256,0.04,0.0402,1576.68,64.13
2019-10-09,XEMUSD,0.04207,0.04256,0.04207,0.04256,96.32,4.099
2019-10-08,XEMUSD,0.04153,0.04337,0.04117,0.04207,457.41,19.16
2019-10-07,XEMUSD,0.0415,0.04153,0.0415,0.04153,718.98,29.85
2019-10-06,XEMUSD,0.04176,0.0439,0.0415,0.0415,1212.4,51.15
2019-10-05,XEMUSD,0.04171,0.04183,0.04165,0.04176,380.6,15.9
2019-10-04,XEMUSD,0.04425,0.04425,0.04171,0.04171,212.8,8.901
2019-10-03,XEMUSD,0.04155,0.04425,0.04155,0.04425,20.63,0.913
2019-10-02,XEMUSD,0.04278,0.04278,0.04155,0.04155,728.08,30.41
2019-10-01,XEMUSD,0.04202,0.04411,0.04202,0.04278,876.01,38.52
2019-09-30,XEMUSD,0.04222,0.04443,0.04089,0.04202,488.81,20.6
2019-09-29,XEMUSD,0.04672,0.04672,0.04222,0.04222,643.42,27.34
2019-09-28,XEMUSD,0.04119,0.04672,0.04119,0.04672,21.01,0.9817
2019-09-27,XEMUSD,0.04119,0.04381,0.04119,0.04119,1041.67,44.85
2019-09-26,XEMUSD,0.04405,0.04556,0.04119,0.04119,1195.32,51.15
2019-09-25,XEMUSD,0.04283,0.04405,0.04053,0.04405,2132.5,87.39
2019-09-24,XEMUSD,0.04543,0.04565,0.04176,0.04283,1041.99,45.77
2019-09-23,XEMUSD,0.04828,0.04828,0.04533,0.04543,27.65,1.255
2019-09-22,XEMUSD,0.0462,0.04828,0.044,0.04828,100.52,4.53
2019-09-21,XEMUSD,0.04629,0.04895,0.0462,0.0462,433.5,20.72
2019-09-20,XEMUSD,0.04523,0.04629,0.04523,0.04629,300.0,13.89
2019-09-19,XEMUSD,0.04996,0.04996,0.04523,0.04523,1112.11,50.79
2019-09-18,XEMUSD,0.04563,0.04996,0.0443,0.04996,1714.13,82.59
2019-09-17,XEMUSD,0.04355,0.04563,0.04355,0.04563,356.22,16.25
2019-09-16,XEMUSD,0.05,0.05,0.04355,0.04355,975.82,43.91
2019-09-15,XEMUSD,0.04798,0.05,0.0464,0.05,19.6,0.9346
2019-09-14,XEMUSD,0.04662,0.0506,0.04607,0.04798,333.31,15.66
2019-09-13,XEMUSD,0.04786,0.04786,0.04234,0.04662,2103.72,92.3
2019-09-12,XEMUSD,0.0455,0.04786,0.0455,0.04786,104.63,4.827
2019-09-11,XEMUSD,0.04695,0.04695,0.04516,0.0455,2202.77,102.09
2019-09-10,XEMUSD,0.04718,0.04931,0.04695,0.04695,2121.27,102.19
2019-09-09,XEMUSD,0.04718,0.04718,0.04718,0.04718,0.0,0.0
2019-09-08,XEMUSD,0.04703,0.0472,0.04703,0.04718,815.5,38.47
2019-09-07,XEMUSD,0.04695,0.04703,0.04695,0.04703,5.354,0.2518
2019-09-06,XEMUSD,0.04906,0.05213,0.04695,0.04695,2251.43,112.88
2019-09-05,XEMUSD,0.04971,0.05106,0.04906,0.04906,738.02,36.52
2019-09-04,XEMUSD,0.05312,0.05312,0.047,0.04971,5504.86,272.64
2019-09-03,XEMUSD,0.05201,0.054,0.05201,0.05312,345.32,18.56
2019-09-02,XEMUSD,0.05132,0.05396,0.05132,0.05201,420.26,22.44
2019-09-01,XEMUSD,0.05132,0.05397,0.05132,0.05132,38.95,2.005
2019-08-31,XEMUSD,0.0528,0.0528,0.05132,0.05132,402.0,20.7
2019-08-30,XEMUSD,0.0528,0.0528,0.0528,0.0528,0.0,0.0
2019-08-29,XEMUSD,0.0528,0.0528,0.0528,0.0528,28.35,1.497
2019-08-28,XEMUSD,0.05632,0.05632,0.0528,0.0528,533.0,28.9
2019-08-27,XEMUSD,0.05632,0.05632,0.05632,0.05632,745.17,41.97
2019-08-26,XEMUSD,0.05984,0.05984,0.05632,0.05632,1242.86,72.17
2019-08-25,XEMUSD,0.05878,0.06945,0.05785,0.05984,6516.11,409.82
2019-08-24,XEMUSD,0.05604,0.05878,0.05604,0.05878,508.65,29.89
2019-08-23,XEMUSD,0.05569,0.06239,0.05569,0.05604,625.47,35.6
2019-08-22,XEMUSD,0.05506,0.05569,0.05506,0.05569,40.47,2.254
2019-08-21,XEMUSD,0.05497,0.05513,0.05497,0.05506,435.33,23.99
2019-08-20,XEMUSD,0.05802,0.05802,0.05497,0.05497,100.0,5.497
2019-08-19,XEMUSD,0.05537,0.05802,0.05537,0.05802,248.15,14.35
2019-08-18,XEMUSD,0.05506,0.05537,0.05506,0.05537,273.75,15.14
2019-08-17,XEMUSD,0.05506,0.05506,0.05506,0.05506,0.0,0.0
2019-08-16,XEMUSD,0.05506,0.05506,0.05506,0.05506,0.0,0.0
2019-08-15,XEMUSD,0.05495,0.05506,0.05457,0.05506,318.24,17.43
2019-08-14,XEMUSD,0.05884,0.05884,0.05457,0.05495,93.53,5.129
2019-08-13,XEMUSD,0.05781,0.05884,0.05706,0.05884,808.57,46.21
2019-08-12,XEMUSD,0.05781,0.05781,0.05781,0.05781,0.0,0.0
2019-08-11,XEMUSD,0.05808,0.06063,0.05635,0.05781,1716.89,101.36
2019-08-10,XEMUSD,0.05634,0.05808,0.05456,0.05808,1270.73,72.99
2019-08-09,XEMUSD,0.05984,0.0618,0.05634,0.05634,401.7,23.69
2019-08-08,XEMUSD,0.0627,0.0627,0.05984,0.05984,927.24,56.21
2019-08-07,XEMUSD,0.0632,0.06583,0.0627,0.0627,523.82,33.84
2019-08-06,XEMUSD,0.06256,0.06682,0.06256,0.0632,74.06,4.686
2019-08-05,XEMUSD,0.06162,0.06663,0.06162,0.06256,601.3,38.18
2019-08-04,XEMUSD,0.068,0.068,0.06162,0.06162,1434.4,91.21
