Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume WAV,Volume ESUSD
2018-08-12,WAVESUSD,2,2.25,1.872,2.144,4589.95,9537.68
2018-08-11,WAVESUSD,1.854,2,1.8,2,1569.43,2948.88
2018-08-10,WAVESUSD,1.886,1.949,1.8,1.854,2664.26,5005.49
2018-08-09,WAVESUSD,1.76,1.949,1.76,1.886,1775.93,3287.46
2018-08-08,WAVESUSD,1.828,1.864,1.71,1.76,2111.63,3706.62
2018-08-07,WAVESUSD,1.91,1.95,1.8,1.828,1607.69,3058.37
2018-08-06,WAVESUSD,1.956,2.059,1.905,1.91,1200.68,2328.73
2018-08-05,WAVESUSD,1.93,2,1.88,1.956,825.15,1593.88
2018-08-04,WAVESUSD,1.93,2,1.861,1.93,3116.72,6039.83
2018-08-03,WAVESUSD,2.02,2.061,1.9,1.93,2660.33,5162.59
2018-08-02,WAVESUSD,2.3,2.365,1.9,2.02,3247.91,6793.0
2018-08-01,WAVESUSD,2.43,2.43,2.3,2.3,1220.38,2859.69
2018-07-31,WAVESUSD,2.57,2.613,2.351,2.43,1067.61,2625.43
2018-07-30,WAVESUSD,2.699,2.699,2.53,2.57,848.13,2225.61
2018-07-29,WAVESUSD,2.636,2.72,2.636,2.699,1477.06,3977.35
2018-07-28,WAVESUSD,2.68,2.73,2.635,2.636,417.29,1117.33
2018-07-27,WAVESUSD,2.663,2.715,2.573,2.68,1694.8,4472.39
2018-07-26,WAVESUSD,2.707,2.79,2.639,2.663,1415.42,3873.24
2018-07-25,WAVESUSD,2.698,2.769,2.668,2.707,1845.47,5015.6
2018-07-24,WAVESUSD,2.75,2.89,2.6,2.698,3326.57,9062.4
2018-07-23,WAVESUSD,2.792,2.913,2.75,2.75,1476.63,4181.5
2018-07-22,WAVESUSD,2.96,3.005,2.781,2.792,780.25,2258.4
2018-07-21,WAVESUSD,2.959,3.004,2.87,2.96,829.81,2433.05
2018-07-20,WAVESUSD,2.908,3.1,2.85,2.959,2673.24,7961.81
2018-07-19,WAVESUSD,3.042,3.114,2.903,2.908,2765.16,8321.05
2018-07-18,WAVESUSD,3.05,3.23,3,3.042,2589.02,8017.06
2018-07-17,WAVESUSD,2.92,3.245,2.835,3.05,1898.47,5751.24
2018-07-16,WAVESUSD,2.85,2.96,2.81,2.92,910.39,2638.82
2018-07-15,WAVESUSD,2.782,2.85,2.741,2.85,632.53,1783.05
2018-07-14,WAVESUSD,2.754,2.837,2.706,2.782,432.8,1195.0
2018-07-13,WAVESUSD,2.741,2.85,2.686,2.754,503.88,1388.22
2018-07-12,WAVESUSD,2.78,2.848,2.63,2.741,858.68,2350.26
2018-07-11,WAVESUSD,2.83,2.848,2.724,2.78,635.06,1760.54
2018-07-10,WAVESUSD,3.089,3.089,2.74,2.83,922.01,2629.26
2018-07-09,WAVESUSD,3.09,3.11,3.01,3.089,361.1,1105.62
2018-07-08,WAVESUSD,3.02,3.096,2.978,3.09,713.96,2175.11
2018-07-07,WAVESUSD,3,3.14,2.969,3.02,745.84,2275.6
2018-07-06,WAVESUSD,3.045,3.138,2.853,3,1680.82,5015.87
2018-07-05,WAVESUSD,3.12,3.12,2.916,3.045,741.56,2232.83
2018-07-04,WAVESUSD,3.06,3.153,2.98,3.12,798.8,2439.02
2018-07-03,WAVESUSD,3.149,3.245,3.011,3.06,1213.61,3792.35
2018-07-02,WAVESUSD,2.97,3.2,2.82,3.149,2067.96,6235.19
2018-07-01,WAVESUSD,2.895,2.97,2.741,2.97,1293.81,3716.25
2018-06-30,WAVESUSD,2.66,3.081,2.591,2.895,3514.87,9892.55
2018-06-29,WAVESUSD,2.7,2.825,2.5,2.66,2454.15,6406.53
2018-06-28,WAVESUSD,2.844,2.979,2.7,2.7,1906.68,5383.6
2018-06-27,WAVESUSD,2.8,3,2.76,2.844,1703.6,4830.89
2018-06-26,WAVESUSD,3.001,3.079,2.8,2.8,2495.15,7301.31
2018-06-25,WAVESUSD,3.129,3.129,2.96,3.001,1620.83,4875.19
2018-06-24,WAVESUSD,3.13,3.13,2.85,3.129,2509.68,7462.63
2018-06-23,WAVESUSD,3.17,3.27,3.088,3.13,1274.5,4032.21
2018-06-22,WAVESUSD,3.587,3.6,3.15,3.17,4078.78,13616.88
2018-06-21,WAVESUSD,3.675,3.795,3.504,3.587,2037.2,7397.86
2018-06-20,WAVESUSD,3.676,3.676,3.491,3.675,2583.78,9234.18
2018-06-19,WAVESUSD,3.7,3.739,3.6,3.676,1170.58,4292.28
2018-06-18,WAVESUSD,3.487,3.749,3.46,3.7,2189.65,7881.21
2018-06-17,WAVESUSD,3.47,3.609,3.45,3.487,1217.77,4263.96
2018-06-16,WAVESUSD,3.49,3.619,3.44,3.47,2033.43,7097.96
2018-06-15,WAVESUSD,3.65,3.743,3.45,3.49,3270.15,11869.75
2018-06-14,WAVESUSD,3.448,3.71,3.3,3.65,9179.48,32560.04
2018-06-13,WAVESUSD,3.668,3.975,3.4,3.448,10874.92,40020.84
2018-06-12,WAVESUSD,3.969,4.102,3.61,3.668,10915.53,42645.52
2018-06-11,WAVESUSD,3.975,4.152,3.82,3.969,4500.05,17784.54
2018-06-10,WAVESUSD,4.503,4.503,3.95,3.975,7648.29,31638.68
2018-06-09,WAVESUSD,4.697,4.8,4.44,4.503,2427.53,11218.74
2018-06-08,WAVESUSD,4.587,5.1,4.587,4.697,5653.54,27147.06
2018-06-07,WAVESUSD,4.313,4.601,4.286,4.587,1766.31,7873.56
2018-06-06,WAVESUSD,4.33,4.42,4.25,4.313,1508.09,6527.18
2018-06-05,WAVESUSD,4.23,4.49,4.18,4.33,1770.74,7595.76
2018-06-04,WAVESUSD,4.435,4.54,4.15,4.23,3960.64,16916.42
2018-06-03,WAVESUSD,4.44,4.645,4.39,4.435,2548.96,11388.63
2018-06-02,WAVESUSD,4.235,4.645,4.235,4.44,3716.25,16445.9
2018-06-01,WAVESUSD,4.41,4.48,4.204,4.235,2711.06,11657.36
2018-05-31,WAVESUSD,4.25,4.543,4.15,4.41,4122.33,17862.83
2018-05-30,WAVESUSD,4.4,4.83,4.15,4.25,3741.25,16678.77
2018-05-29,WAVESUSD,4.06,4.6,4.05,4.4,3319.67,14346.04
