Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BCH,Volume EUR
2019-03-15,BCHEUR,116.37,132,116.37,127,0.13,16.76
2019-03-14,BCHEUR,112.51,116.37,112.51,116.37,22.7,2633.83
2019-03-13,BCHEUR,112.51,112.51,112.51,112.51,0.0,0.0
2019-03-12,BCHEUR,128,128,112.51,112.51,0.1131,12.72
2019-03-11,BCHEUR,116.03,128,116.03,128,0.1094,14.0
2019-03-10,BCHEUR,116.31,116.31,116.03,116.03,0.08569,9.943
2019-03-09,BCHEUR,116,132,116,116.31,0.2057,25.11
2019-03-08,BCHEUR,116,116,116,116,0.0,0.0
2019-03-07,BCHEUR,116,116,116,116,0.0,0.0
2019-03-06,BCHEUR,116,116,116,116,0.0,0.0
2019-03-05,BCHEUR,116.08,124,115.1,116,1.038,122.69
2019-03-04,BCHEUR,116.09,116.09,107.06,116.08,6.342,703.84
2019-03-03,BCHEUR,116.09,116.09,116.09,116.09,0.0,0.0
2019-03-02,BCHEUR,116.37,116.37,116.09,116.09,0.07951,9.23
2019-03-01,BCHEUR,115,116.37,115,116.37,22.84,2646.87
2019-02-28,BCHEUR,113.28,115,113.28,115,0.8696,100.0
2019-02-27,BCHEUR,127,127,113.28,113.28,2.379,272.61
2019-02-26,BCHEUR,127,127,127,127,0.0,0.0
2019-02-25,BCHEUR,127,127,127,127,0.0,0.0
2019-02-24,BCHEUR,127,127,127,127,0.0,0.0
2019-02-23,BCHEUR,125.49,127,125.49,127,0.08323,10.57
2019-02-22,BCHEUR,123.21,125.49,123.21,125.49,0.08359,10.49
2019-02-21,BCHEUR,125.93,125.93,123.21,123.21,0.2911,36.13
2019-02-20,BCHEUR,125.93,125.93,125.93,125.93,0.0,0.0
2019-02-19,BCHEUR,129.82,132.29,125.93,125.93,3.346,427.88
2019-02-18,BCHEUR,105,129.82,105,129.82,50.49,5730.72
2019-02-17,BCHEUR,105.52,105.52,105,105,1.017,106.78
2019-02-16,BCHEUR,105.52,105.52,105.52,105.52,0.0,0.0
2019-02-15,BCHEUR,105.52,105.52,105.52,105.52,0.0,0.0
2019-02-14,BCHEUR,105.52,105.52,105.52,105.52,0.0,0.0
2019-02-13,BCHEUR,106.36,110,105.52,105.52,4.502,492.97
2019-02-12,BCHEUR,108.13,108.13,106.36,106.36,0.1007,10.71
2019-02-11,BCHEUR,108.13,108.13,108.13,108.13,0.0,0.0
2019-02-10,BCHEUR,99,108.13,99,108.13,0.502,54.28
2019-02-09,BCHEUR,112.04,112.04,99,99,1.0,99.0
2019-02-08,BCHEUR,97.96,112.04,97.96,112.04,0.1539,17.23
2019-02-07,BCHEUR,97.96,97.96,97.96,97.96,0.0,0.0
2019-02-06,BCHEUR,94.55,100,94.55,97.96,4.082,402.0
2019-02-05,BCHEUR,94.55,94.55,94.55,94.55,0.0,0.0
2019-02-04,BCHEUR,99.5,103.18,94.55,94.55,3.507,357.5
2019-02-03,BCHEUR,99.5,99.5,99.5,99.5,0.0,0.0
2019-02-02,BCHEUR,99.5,99.5,99.5,99.5,0.0,0.0
2019-02-01,BCHEUR,98,99.7,98,99.5,2.923,289.64
2019-01-31,BCHEUR,102.7,102.7,98,98,16.13,1585.81
2019-01-30,BCHEUR,97.74,102.7,97.74,102.7,6.402,650.65
2019-01-29,BCHEUR,94.46,97.74,94.46,97.74,1.105,107.98
2019-01-28,BCHEUR,112.52,112.52,94.46,94.46,7.521,745.43
2019-01-27,BCHEUR,112.52,112.52,112.52,112.52,0.0,0.0
2019-01-26,BCHEUR,112.52,112.52,112.52,112.52,0.0,0.0
2019-01-25,BCHEUR,114.43,114.43,112.52,112.52,0.0759,8.54
2019-01-24,BCHEUR,103.18,114.43,103.18,114.43,0.4446,50.87
2019-01-23,BCHEUR,103.18,103.18,103.18,103.18,0.0,0.0
2019-01-22,BCHEUR,107.37,107.37,103.18,103.18,2.23,230.63
2019-01-21,BCHEUR,113.11,113.11,106.68,107.37,1.038,111.1
2019-01-20,BCHEUR,113.11,113.11,113.11,113.11,0.0,0.0
2019-01-19,BCHEUR,113.11,113.11,113.11,113.11,0.0,0.0
2019-01-18,BCHEUR,111.32,113.11,111.32,113.11,0.1245,14.08
2019-01-17,BCHEUR,111.32,111.32,111.32,111.32,0.0,0.0
2019-01-16,BCHEUR,111.32,111.32,111.32,111.32,0.0,0.0
2019-01-15,BCHEUR,114.82,114.82,111.32,111.32,1.331,151.1
2019-01-14,BCHEUR,114.82,114.82,114.82,114.82,0.0,0.0
2019-01-13,BCHEUR,114.82,114.82,114.82,114.82,0.0,0.0
2019-01-12,BCHEUR,114.82,114.82,114.82,114.82,0.0,0.0
2019-01-11,BCHEUR,114.82,114.82,114.82,114.82,0.0,0.0
2019-01-10,BCHEUR,140.13,140.13,113.96,114.82,11.48,1416.22
2019-01-09,BCHEUR,140.13,140.13,140.13,140.13,0.0,0.0
2019-01-08,BCHEUR,170,170,140.13,140.13,1.085,152.09
2019-01-07,BCHEUR,170,170,170,170,0.0,0.0
2019-01-06,BCHEUR,170,170,170,170,0.0,0.0
2019-01-05,BCHEUR,141.7,170,141.7,170,1.004,159.01
2019-01-04,BCHEUR,141.7,141.7,141.7,141.7,0.0,0.0
2019-01-03,BCHEUR,150,150,141.7,141.7,1.001,142.52
2019-01-02,BCHEUR,135.7,150,135.7,150,20.4,2915.68
2019-01-01,BCHEUR,135.7,135.7,135.7,135.7,0.0,0.0
2018-12-31,BCHEUR,150.08,150.08,135.18,135.7,20.0,2710.45
2018-12-30,BCHEUR,150.08,150.08,150.08,150.08,0.0,0.0
2018-12-29,BCHEUR,150.08,150.08,150.08,150.08,0.0,0.0
2018-12-28,BCHEUR,130.53,150.08,128.12,150.08,33.92,4728.76
2018-12-27,BCHEUR,148.6,148.6,128.6,130.53,24.06,3260.31
2018-12-26,BCHEUR,161.3,161.3,145.73,148.6,6.702,987.78
2018-12-25,BCHEUR,164.05,164.05,161.3,161.3,0.0225,3.63
2018-12-24,BCHEUR,173.11,180,164.05,164.05,33.32,5833.04
2018-12-23,BCHEUR,164.3,248.98,164.3,173.11,3.991,684.59
2018-12-22,BCHEUR,162.74,166.05,160.92,164.3,1.252,202.48
2018-12-21,BCHEUR,154.77,203.01,154.77,162.74,136.84,24968.58
2018-12-20,BCHEUR,108.07,179.93,108.07,154.77,51.59,8152.7
2018-12-19,BCHEUR,86.52,125,86.52,108.07,73.13,7932.11
2018-12-18,BCHEUR,79.2,92.35,74.75,86.52,53.0,4527.61
2018-12-17,BCHEUR,71,92,71,79.2,21.34,1718.7
2018-12-16,BCHEUR,71,71,71,71,0.0,0.0
2018-12-15,BCHEUR,69.71,71,69.71,71,1.0,71.0
2018-12-14,BCHEUR,80.37,80.37,69.71,69.71,0.2143,15.22
2018-12-13,BCHEUR,85.82,85.82,80.37,80.37,8.668,706.59
2018-12-12,BCHEUR,105,105,85.82,85.82,2.822,242.48
2018-12-11,BCHEUR,93.42,105,83,105,15.32,1307.14
2018-12-10,BCHEUR,115,115,93.42,93.42,1.083,101.69
2018-12-09,BCHEUR,87.07,115,87.07,115,0.002783,0.32
2018-12-08,BCHEUR,90.74,90.74,87.07,87.07,0.2522,22.69
2018-12-07,BCHEUR,96.73,141,83.21,90.74,28.51,2568.65
2018-12-06,BCHEUR,115.13,115.13,96.73,96.73,35.99,3755.55
2018-12-05,BCHEUR,132.09,132.09,114.65,115.13,19.49,2407.59
2018-12-04,BCHEUR,139.41,139.65,131.44,132.09,18.76,2529.47
2018-12-03,BCHEUR,150.27,150.27,137.85,139.41,11.9,1666.92
2018-12-02,BCHEUR,150.97,150.97,150.27,150.27,0.06493,9.757
2018-12-01,BCHEUR,150.97,150.97,150.97,150.97,0.0,0.0
2018-11-30,BCHEUR,155.16,158.97,149.03,150.97,18.79,2961.24
2018-11-29,BCHEUR,171.56,171.56,155.16,155.16,34.33,5490.53
2018-11-28,BCHEUR,155.28,171.56,155.28,171.56,2.826,478.36
2018-11-27,BCHEUR,151.98,159.24,151.98,155.28,1.68,265.36
2018-11-26,BCHEUR,155.87,180.78,151.98,151.98,17.96,2985.93
2018-11-25,BCHEUR,163.1,163.1,155.87,155.87,0.1919,30.43
2018-11-24,BCHEUR,173.68,203,163.1,163.1,0.6966,126.93
2018-11-23,BCHEUR,209.7,336.99,173.68,173.68,17.43,3419.9
2018-11-22,BCHEUR,225,225,207.93,209.7,1.829,383.5
2018-11-21,BCHEUR,260,260,225,225,0.5428,122.13
2018-11-20,BCHEUR,216.48,260,199.2,260,2.429,545.38
2018-11-19,BCHEUR,349.29,349.29,216.48,216.48,0.3797,102.5
2018-11-18,BCHEUR,309.56,350,301,349.29,1.628,506.78
2018-11-17,BCHEUR,330.87,331.26,309.56,309.56,3.192,996.96
2018-11-16,BCHEUR,375,526,330.87,330.87,0.2452,99.63
2018-11-15,BCHEUR,430.5,430.5,375,375,0.6095,233.59
2018-11-14,BCHEUR,459,459,430.5,430.5,0.02829,12.18
2018-11-13,BCHEUR,450,475.37,450,459,7.741,3645.92
2018-11-12,BCHEUR,457.21,472.84,450,450,1.159,544.92
2018-11-11,BCHEUR,469.17,469.17,457.21,457.21,0.0293,13.39
2018-11-10,BCHEUR,469.17,469.17,469.17,469.17,0.0,0.0
2018-11-09,BCHEUR,513.12,521.11,469.17,469.17,3.69,1869.87
2018-11-08,BCHEUR,535.49,535.49,511.85,513.12,1.965,1033.35
2018-11-07,BCHEUR,532.33,549.91,532.33,535.49,0.552,298.5
2018-11-06,BCHEUR,547.77,547.77,503.64,532.33,7.039,3614.74
2018-11-05,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-11-04,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-11-03,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-11-02,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-11-01,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-10-31,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-10-30,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-10-29,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-10-28,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-10-27,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-10-26,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-10-25,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-10-24,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-10-23,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-10-22,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-10-21,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-10-20,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-10-19,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-10-18,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-10-17,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-10-16,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-10-15,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-10-14,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-10-13,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-10-12,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-10-11,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-10-10,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-10-09,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-10-08,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-10-07,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-10-06,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-10-05,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-10-04,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-10-03,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-10-02,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-10-01,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-09-30,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-09-29,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-09-28,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-09-27,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-09-26,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-09-25,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-09-24,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-09-23,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-09-22,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-09-21,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-09-20,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-09-19,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-09-18,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-09-17,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-09-16,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-09-15,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-09-14,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-09-13,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-09-12,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-09-11,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-09-10,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
2018-09-09,BCHEUR,547.77,547.77,547.77,547.77,0.0,0.0
