Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XVG,Volume BTC
2019-08-22,XVGBTC,4.8e-07,5.1e-07,4.7e-07,5.0e-07,150319.19,0.07346
2019-08-21,XVGBTC,4.8e-07,5.0e-07,4.3e-07,4.8e-07,113064.93,0.05342
2019-08-20,XVGBTC,4.8e-07,5.2e-07,4.7e-07,4.8e-07,78049.79,0.03913
2019-08-19,XVGBTC,5.1e-07,5.4e-07,4.8e-07,4.8e-07,92900.24,0.04716
2019-08-18,XVGBTC,4.9e-07,5.7e-07,4.9e-07,5.1e-07,343845.6,0.184
2019-08-17,XVGBTC,4.7e-07,5.4e-07,4.6e-07,4.9e-07,345309.31,0.1728
2019-08-16,XVGBTC,4.6e-07,4.7e-07,4.4e-07,4.7e-07,277253.82,0.1258
2019-08-15,XVGBTC,5.0e-07,5.0e-07,3.9e-07,4.6e-07,176162.94,0.07913
2019-08-14,XVGBTC,4.8e-07,5.2e-07,4.8e-07,5.0e-07,203359.84,0.1014
2019-08-13,XVGBTC,4.8e-07,5.0e-07,4.8e-07,4.8e-07,161736.75,0.07895
2019-08-12,XVGBTC,4.9e-07,5.0e-07,4.8e-07,4.8e-07,33638.14,0.01676
2019-08-11,XVGBTC,4.7e-07,4.9e-07,4.7e-07,4.9e-07,5486.91,0.002652
2019-08-10,XVGBTC,4.8e-07,5.1e-07,4.7e-07,4.7e-07,61118.94,0.02968
