Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume EUR
2019-01-16,BTCEUR,3141,3267,3140.07,3161.94,21.96,71140.92
2019-01-15,BTCEUR,3201.26,3247,3132.62,3141,46.02,149077.57
2019-01-14,BTCEUR,3130.78,3258,3069.16,3201.26,68.63,215289.45
2019-01-13,BTCEUR,3162.5,3214.27,3056.98,3130.78,1.913,6011.73
2019-01-12,BTCEUR,3145.39,3225.91,3145.39,3162.5,0.9217,2925.69
2019-01-11,BTCEUR,3182.58,3271.36,3140,3145.39,90.68,291392.98
2019-01-10,BTCEUR,3469.01,3550,3136.01,3182.58,40.32,134532.0
2019-01-09,BTCEUR,3380,3556.75,3380,3469.01,22.04,77599.37
2019-01-08,BTCEUR,3491.67,3570.74,3380,3380,5.763,20217.14
2019-01-07,BTCEUR,3559.99,3559.99,3479.76,3491.67,10.64,37450.16
2019-01-06,BTCEUR,3402.91,3565.25,3302.91,3559.99,15.32,52698.2
2019-01-05,BTCEUR,3362.99,3503.82,3334.5,3402.91,6.771,23141.76
2019-01-04,BTCEUR,3333,3410,3290,3362.99,46.14,155807.61
2019-01-03,BTCEUR,3415.52,3440,3304.13,3333,28.65,97761.28
2019-01-02,BTCEUR,3308.18,3442.23,3308.18,3415.52,37.91,128450.08
2019-01-01,BTCEUR,3206.5,3310.04,3206.5,3308.18,0.1436,472.78
2018-12-31,BTCEUR,3301.23,3355.08,3202.87,3206.5,99.18,329788.3
2018-12-30,BTCEUR,3383.86,3419.29,3267.22,3301.23,0.8439,2797.03
2018-12-29,BTCEUR,3300.01,3484.15,3300.01,3383.86,1.812,6278.82
2018-12-28,BTCEUR,3140,3477,3140,3300.01,112.55,364472.3
2018-12-27,BTCEUR,3335,3371.51,3140,3140,68.66,229877.54
2018-12-26,BTCEUR,3330,3586.4,3300,3335,0.939,3136.8
2018-12-25,BTCEUR,3612.62,3612.62,3298,3330,2.911,9733.93
2018-12-24,BTCEUR,3501,4000,3473.83,3612.62,69.12,255048.48
2018-12-23,BTCEUR,3496.33,3787.77,3461.19,3501,2.713,9683.8
2018-12-22,BTCEUR,3388.02,3496.33,3354.32,3496.33,3.876,13195.89
2018-12-21,BTCEUR,3490,3599,2801,3388.02,124.38,438840.49
2018-12-20,BTCEUR,3250.22,3639,3207.85,3490,10.23,35760.79
2018-12-19,BTCEUR,3235.7,3466,3201,3250.22,25.19,84087.0
2018-12-18,BTCEUR,3080.17,3235.7,3000.01,3235.7,6.53,20220.64
2018-12-17,BTCEUR,2826.55,3174.29,2787.34,3080.17,11.96,36392.72
2018-12-16,BTCEUR,2831.14,2945.66,2813.81,2826.55,2.437,6954.47
2018-12-15,BTCEUR,2850,2851.49,2787.81,2831.14,1.594,4498.24
2018-12-14,BTCEUR,2867.47,2979.46,2815,2850,66.51,194438.87
2018-12-13,BTCEUR,3002,3162.1,2855.03,2867.47,18.89,57104.7
2018-12-12,BTCEUR,2975.62,3600,2950.2,3002,3.735,11508.79
2018-12-11,BTCEUR,3012.87,3053.89,2932,2975.62,19.45,57945.91
2018-12-10,BTCEUR,3101,3149.92,2972.31,3012.87,3.718,11355.85
2018-12-09,BTCEUR,3049.7,3174.45,2976.01,3101,2.217,6715.08
2018-12-08,BTCEUR,2980,3226.65,2781,3049.7,3.142,9610.15
2018-12-07,BTCEUR,3100,3300.59,2843.54,2980,30.97,93667.15
2018-12-06,BTCEUR,3272.68,3375,3100,3100,70.13,227648.63
2018-12-05,BTCEUR,3457.88,3483.23,3250.2,3272.68,28.82,97948.77
2018-12-04,BTCEUR,3421.58,3583.67,3313.29,3457.88,12.5,43786.62
2018-12-03,BTCEUR,3610,3619.05,3362.09,3421.58,51.13,180568.81
2018-12-02,BTCEUR,3688.04,3751.18,3584.08,3610,1.582,5775.0
2018-12-01,BTCEUR,3510.29,3749.26,3445.01,3688.04,27.31,97404.76
2018-11-30,BTCEUR,3706.3,3743.82,3256,3510.29,19.58,69513.31
2018-11-29,BTCEUR,3696.08,3858.13,3100,3706.3,52.83,195821.55
