Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DGB,Volume BTC
2020-02-06,DGBBTC,7.2e-07,7.4e-07,7.1e-07,7.4e-07,101550.21,0.0732
2020-02-05,DGBBTC,7.0e-07,7.3e-07,6.9e-07,7.2e-07,94167.56,0.06679
2020-02-04,DGBBTC,6.8e-07,7.1e-07,6.7e-07,7.0e-07,47527.1,0.03314
2020-02-03,DGBBTC,6.9e-07,6.9e-07,6.7e-07,6.8e-07,89378.95,0.06044
2020-02-02,DGBBTC,7.2e-07,7.2e-07,6.7e-07,6.9e-07,27757.61,0.01934
2020-02-01,DGBBTC,6.7e-07,7.2e-07,6.6e-07,7.2e-07,36645.21,0.02518
2020-01-31,DGBBTC,6.6e-07,6.7e-07,6.5e-07,6.7e-07,20952.46,0.01378
2020-01-30,DGBBTC,6.7e-07,6.9e-07,5.0e-07,6.6e-07,490521.8,0.2885
2020-01-29,DGBBTC,7.0e-07,7.2e-07,6.5e-07,6.7e-07,675533.2,0.4723
2020-01-28,DGBBTC,7.1e-07,7.3e-07,7.0e-07,7.0e-07,20119.01,0.01433
2020-01-27,DGBBTC,7.3e-07,7.4e-07,7.1e-07,7.1e-07,128357.42,0.09294
2020-01-26,DGBBTC,7.8e-07,7.8e-07,7.2e-07,7.3e-07,34159.02,0.02499
2020-01-25,DGBBTC,7.5e-07,7.8e-07,7.4e-07,7.8e-07,35891.79,0.02715
2020-01-24,DGBBTC,7.7e-07,7.7e-07,7.5e-07,7.5e-07,35429.85,0.02665
2020-01-23,DGBBTC,7.7e-07,7.8e-07,7.4e-07,7.7e-07,39936.26,0.03017
2020-01-22,DGBBTC,7.7e-07,7.8e-07,7.5e-07,7.7e-07,16372.47,0.01255
2020-01-21,DGBBTC,7.9e-07,7.9e-07,7.6e-07,7.7e-07,21400.89,0.01661
2020-01-20,DGBBTC,7.5e-07,7.9e-07,7.5e-07,7.9e-07,68305.31,0.05297
2020-01-19,DGBBTC,7.8e-07,8.0e-07,7.5e-07,7.5e-07,41430.01,0.03211
2020-01-18,DGBBTC,7.7e-07,8.0e-07,7.5e-07,7.8e-07,36523.01,0.02828
2020-01-17,DGBBTC,7.7e-07,8.3e-07,7.4e-07,7.7e-07,215767.73,0.1725
2020-01-16,DGBBTC,7.5e-07,7.8e-07,7.5e-07,7.7e-07,247429.46,0.1887
2020-01-15,DGBBTC,7.4e-07,7.6e-07,7.0e-07,7.5e-07,379264.24,0.2809
2020-01-14,DGBBTC,7.0e-07,7.4e-07,6.8e-07,7.4e-07,236892.05,0.1668
2020-01-13,DGBBTC,6.9e-07,7.2e-07,6.9e-07,7.0e-07,83298.0,0.0582
2020-01-12,DGBBTC,7.1e-07,7.2e-07,6.8e-07,6.9e-07,16506.82,0.01134
2020-01-11,DGBBTC,7.1e-07,7.2e-07,6.8e-07,7.1e-07,1103689.1,0.7614
2020-01-10,DGBBTC,6.9e-07,7.1e-07,6.9e-07,7.1e-07,34108.36,0.02374
2020-01-09,DGBBTC,7.2e-07,7.2e-07,6.6e-07,6.9e-07,126618.25,0.08698
2020-01-08,DGBBTC,7.3e-07,7.4e-07,6.1e-07,7.2e-07,273615.37,0.1904
2020-01-07,DGBBTC,7.4e-07,7.5e-07,7.3e-07,7.3e-07,64454.75,0.04727
2020-01-06,DGBBTC,7.4e-07,7.5e-07,7.3e-07,7.4e-07,167621.54,0.1232
2020-01-05,DGBBTC,7.5e-07,7.5e-07,7.3e-07,7.4e-07,23482.7,0.01722
2020-01-04,DGBBTC,7.5e-07,7.5e-07,7.2e-07,7.5e-07,48339.4,0.03559
2020-01-03,DGBBTC,7.4e-07,7.5e-07,7.3e-07,7.5e-07,33787.29,0.02506
2020-01-02,DGBBTC,7.4e-07,7.6e-07,7.2e-07,7.4e-07,415411.53,0.3069
2020-01-01,DGBBTC,7.4e-07,7.4e-07,7.2e-07,7.4e-07,19680.33,0.01449
2019-12-31,DGBBTC,7.3e-07,7.5e-07,7.1e-07,7.4e-07,27151.32,0.01993
2019-12-30,DGBBTC,7.4e-07,7.6e-07,7.1e-07,7.3e-07,118164.4,0.08558
2019-12-29,DGBBTC,7.5e-07,8.0e-07,7.3e-07,7.4e-07,299035.93,0.2254
2019-12-28,DGBBTC,7.7e-07,7.7e-07,7.4e-07,7.5e-07,75784.18,0.0565
2019-12-27,DGBBTC,7.7e-07,7.8e-07,7.4e-07,7.7e-07,45442.43,0.03467
2019-12-26,DGBBTC,7.9e-07,8.1e-07,7.6e-07,7.7e-07,57824.2,0.04525
2019-12-25,DGBBTC,7.9e-07,8.1e-07,7.9e-07,7.9e-07,12095.96,0.009654
2019-12-24,DGBBTC,8.0e-07,8.1e-07,7.9e-07,7.9e-07,11966.8,0.009517
2019-12-23,DGBBTC,7.9e-07,8.3e-07,7.9e-07,8.0e-07,45964.0,0.03728
2019-12-22,DGBBTC,8.2e-07,8.4e-07,7.9e-07,7.9e-07,143940.56,0.1185
2019-12-21,DGBBTC,8.5e-07,9.1e-07,8.1e-07,8.2e-07,207957.88,0.1746
2019-12-20,DGBBTC,8.8e-07,9.0e-07,8.5e-07,8.5e-07,83435.54,0.07317
2019-12-19,DGBBTC,9.0e-07,9.1e-07,8.8e-07,8.8e-07,184899.26,0.1662
2019-12-18,DGBBTC,9.1e-07,9.1e-07,8.9e-07,9.0e-07,44834.78,0.04017
2019-12-17,DGBBTC,8.9e-07,9.1e-07,8.9e-07,9.1e-07,78922.68,0.07081
2019-12-16,DGBBTC,9.0e-07,9.1e-07,8.8e-07,8.9e-07,204576.54,0.1819
2019-12-15,DGBBTC,9.2e-07,9.2e-07,9.0e-07,9.0e-07,47570.75,0.04288
2019-12-14,DGBBTC,9.1e-07,9.2e-07,9.1e-07,9.2e-07,24920.75,0.02274
2019-12-13,DGBBTC,9.1e-07,9.2e-07,8.9e-07,9.1e-07,36486.03,0.03278
2019-12-12,DGBBTC,8.9e-07,9.1e-07,8.9e-07,9.1e-07,40444.93,0.03658
2019-12-11,DGBBTC,8.9e-07,9.2e-07,8.8e-07,8.9e-07,109747.83,0.0988
2019-12-10,DGBBTC,9.0e-07,9.0e-07,8.7e-07,8.9e-07,43316.93,0.03839
2019-12-09,DGBBTC,8.9e-07,9.0e-07,8.7e-07,9.0e-07,127562.65,0.1121
2019-12-08,DGBBTC,8.5e-07,1.01e-06,8.5e-07,8.9e-07,414507.65,0.3764
2019-12-07,DGBBTC,8.6e-07,8.7e-07,8.4e-07,8.5e-07,56331.94,0.04798
2019-12-06,DGBBTC,8.3e-07,8.6e-07,8.3e-07,8.6e-07,213478.41,0.1823
2019-12-05,DGBBTC,9.1e-07,1.01e-06,8.3e-07,8.3e-07,615564.55,0.541
2019-12-04,DGBBTC,8.8e-07,1.0e-06,8.8e-07,9.1e-07,259692.55,0.2457
2019-12-03,DGBBTC,8.8e-07,9.2e-07,8.8e-07,8.8e-07,114796.42,0.1039
2019-12-02,DGBBTC,9.0e-07,9.2e-07,8.8e-07,8.8e-07,273968.66,0.2466
2019-12-01,DGBBTC,9.1e-07,9.6e-07,8.9e-07,9.0e-07,212832.46,0.1946
2019-11-30,DGBBTC,9.0e-07,9.1e-07,8.8e-07,9.1e-07,47080.66,0.0422
2019-11-29,DGBBTC,9.1e-07,9.2e-07,8.8e-07,9.0e-07,55751.12,0.05014
2019-11-28,DGBBTC,8.9e-07,9.5e-07,8.9e-07,9.1e-07,80998.31,0.07463
2019-11-27,DGBBTC,8.9e-07,9.6e-07,8.9e-07,8.9e-07,98203.6,0.08979
2019-11-26,DGBBTC,8.8e-07,9.1e-07,8.8e-07,8.9e-07,15672.0,0.01408
2019-11-25,DGBBTC,9.1e-07,9.3e-07,8.8e-07,8.8e-07,57711.15,0.05227
2019-11-24,DGBBTC,9.0e-07,9.3e-07,8.9e-07,9.1e-07,58128.77,0.0529
2019-11-23,DGBBTC,9.0e-07,9.3e-07,8.8e-07,9.0e-07,94781.88,0.08611
2019-11-22,DGBBTC,9.1e-07,9.4e-07,7.9e-07,9.0e-07,139577.31,0.118
2019-11-21,DGBBTC,8.5e-07,9.7e-07,8.5e-07,9.1e-07,234986.99,0.2156
2019-11-20,DGBBTC,8.1e-07,8.8e-07,8.0e-07,8.5e-07,30459.22,0.02539
2019-11-19,DGBBTC,8.5e-07,8.5e-07,8.0e-07,8.1e-07,23462.24,0.01906
2019-11-18,DGBBTC,7.9e-07,8.5e-07,7.9e-07,8.5e-07,73611.18,0.06017
2019-11-17,DGBBTC,8.0e-07,9.1e-07,7.8e-07,7.9e-07,66906.88,0.05496
2019-11-16,DGBBTC,8.1e-07,8.2e-07,7.7e-07,8.0e-07,29750.48,0.02337
2019-11-15,DGBBTC,7.7e-07,8.2e-07,7.7e-07,8.1e-07,38331.35,0.03075
2019-11-14,DGBBTC,7.9e-07,8.0e-07,7.7e-07,7.7e-07,62409.91,0.04908
2019-11-13,DGBBTC,8.0e-07,8.3e-07,7.9e-07,7.9e-07,107283.48,0.08646
2019-11-12,DGBBTC,7.9e-07,8.3e-07,7.9e-07,8.0e-07,56311.16,0.0452
2019-11-11,DGBBTC,8.0e-07,8.0e-07,7.9e-07,7.9e-07,24982.51,0.01986
2019-11-10,DGBBTC,8.0e-07,8.1e-07,7.9e-07,8.0e-07,29527.0,0.02354
2019-11-09,DGBBTC,7.8e-07,8.0e-07,7.6e-07,8.0e-07,78096.11,0.06201
2019-11-08,DGBBTC,7.6e-07,7.8e-07,7.5e-07,7.8e-07,91182.23,0.07014
2019-11-07,DGBBTC,7.8e-07,8.0e-07,7.6e-07,7.6e-07,60024.94,0.04688
2019-11-06,DGBBTC,7.8e-07,7.9e-07,7.7e-07,7.8e-07,34903.85,0.02726
2019-11-05,DGBBTC,7.9e-07,7.9e-07,7.6e-07,7.8e-07,47257.18,0.03642
2019-11-04,DGBBTC,7.9e-07,8.0e-07,7.7e-07,7.9e-07,41894.02,0.03302
2019-11-03,DGBBTC,7.7e-07,7.9e-07,7.7e-07,7.9e-07,47848.97,0.03742
2019-11-02,DGBBTC,7.5e-07,7.8e-07,7.3e-07,7.7e-07,70964.61,0.05331
2019-11-01,DGBBTC,7.6e-07,7.8e-07,7.4e-07,7.5e-07,147283.85,0.112
2019-10-31,DGBBTC,7.9e-07,9.0e-07,7.5e-07,7.6e-07,185615.56,0.1482
2019-10-30,DGBBTC,8.1e-07,8.2e-07,7.7e-07,7.9e-07,104271.92,0.08291
2019-10-29,DGBBTC,8.2e-07,8.4e-07,8.0e-07,8.1e-07,37428.3,0.03048
2019-10-28,DGBBTC,8.4e-07,8.4e-07,7.8e-07,8.2e-07,52229.43,0.0421
2019-10-27,DGBBTC,8.6e-07,8.6e-07,8.1e-07,8.4e-07,49178.11,0.0404
2019-10-26,DGBBTC,9.1e-07,9.1e-07,8.4e-07,8.6e-07,72049.27,0.06176
2019-10-25,DGBBTC,9.4e-07,9.8e-07,8.8e-07,9.1e-07,267386.17,0.2447
2019-10-24,DGBBTC,9.2e-07,9.4e-07,9.0e-07,9.4e-07,54691.09,0.05044
2019-10-23,DGBBTC,8.9e-07,9.5e-07,8.8e-07,9.2e-07,350925.89,0.3221
2019-10-22,DGBBTC,9.2e-07,9.2e-07,8.6e-07,8.9e-07,65931.05,0.05903
2019-10-21,DGBBTC,9.4e-07,9.4e-07,9.1e-07,9.2e-07,18378.05,0.01706
2019-10-20,DGBBTC,9.6e-07,9.8e-07,9.2e-07,9.4e-07,75896.92,0.0718
2019-10-19,DGBBTC,9.3e-07,9.8e-07,9.3e-07,9.6e-07,17330.4,0.01665
2019-10-18,DGBBTC,9.8e-07,1.0e-06,9.3e-07,9.3e-07,210545.71,0.2027
2019-10-17,DGBBTC,9.8e-07,1.01e-06,9.6e-07,9.8e-07,71957.06,0.07089
2019-10-16,DGBBTC,1.0e-06,1.03e-06,9.7e-07,9.8e-07,46565.84,0.04626
2019-10-15,DGBBTC,1.04e-06,1.06e-06,9.8e-07,1.0e-06,178151.17,0.1798
2019-10-14,DGBBTC,1.06e-06,1.06e-06,1.03e-06,1.04e-06,24790.67,0.02598
2019-10-13,DGBBTC,1.04e-06,1.06e-06,1.02e-06,1.06e-06,37903.29,0.03908
2019-10-12,DGBBTC,1.05e-06,1.1e-06,1.0e-06,1.04e-06,148344.46,0.1551
2019-10-11,DGBBTC,1.0e-06,1.1e-06,9.6e-07,1.05e-06,1492378.11,1.613
2019-10-10,DGBBTC,9.8e-07,1.03e-06,9.7e-07,1.0e-06,68109.23,0.06768
2019-10-09,DGBBTC,9.7e-07,1.06e-06,9.6e-07,9.8e-07,199641.08,0.2017
2019-10-08,DGBBTC,9.4e-07,9.7e-07,9.3e-07,9.7e-07,60704.42,0.05724
2019-10-07,DGBBTC,9.0e-07,9.4e-07,9.0e-07,9.4e-07,80122.02,0.07357
2019-10-06,DGBBTC,9.1e-07,9.3e-07,9.0e-07,9.0e-07,44771.8,0.04109
